Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,0,111,111,mul-comm,2
2,0,0,111,111,eq-comm,6
2,0,0,111,111,and-comm,6
2,0,0,111,111,and-assoc,2
2,0,0,111,111,filter-split,1
2,0,0,111,111,pushdown-filter-inner-join,1
2,0,0,111,111,pushdown-join-condition-left-1,5
2,0,0,111,111,pushdown-join-condition-right-1,5
2,0,0,111,111,pushdown-proj-order,1
2,0,0,111,111,pushdown-proj-filter,1
2,0,0,111,111,pushdown-proj-hashagg,1
2,0,1,132,163,eq-trans,2
2,0,1,132,163,and-true,1
2,0,1,132,163,and-comm,5
2,0,1,132,163,and-assoc,16
2,0,1,132,163,filter-true,10
2,0,1,132,163,filter-split,7
2,0,1,132,163,pushdown-filter-proj,1
2,0,1,132,163,pushdown-filter-inner-join,2
2,0,1,132,163,identical-proj,1
2,0,1,132,163,pushdown-proj-order,1
2,0,1,132,163,pushdown-proj-filter,2
2,0,1,132,163,pushdown-proj-hashagg,1
2,0,1,132,163,pushdown-proj-join,2
2,0,2,158,241,eq-comm,1
2,0,2,158,241,eq-trans,2
2,0,2,158,241,and-true,3
2,0,2,158,241,and-comm,31
2,0,2,158,241,and-assoc,70
2,0,2,158,241,filter-merge,1
2,0,2,158,241,filter-split,45
2,0,2,158,241,pushdown-filter-proj,9
2,0,2,158,241,pushdown-filter-inner-join,4
2,0,2,158,241,pushdown-join-condition-left,5
2,0,2,158,241,pushdown-join-condition-left-1,1
2,0,2,158,241,pushdown-join-condition-right,1
2,0,2,158,241,pushdown-join-condition-right-1,1
2,0,2,158,241,identical-proj,5
2,0,2,158,241,pushdown-proj-filter,12
2,0,2,158,241,pushdown-proj-join,5
2,0,2,158,241,pushdown-proj-scan,1
2,0,3,269,563,eq-comm,1
2,0,3,269,563,eq-trans,1
2,0,3,269,563,and-true,7
2,0,3,269,563,and-comm,119
2,0,3,269,563,and-assoc,538
2,0,3,269,563,filter-true,4
2,0,3,269,563,filter-merge,30
2,0,3,269,563,filter-split,421
2,0,3,269,563,pushdown-filter-proj,49
2,0,3,269,563,pushdown-filter-inner-join,26
2,0,3,269,563,pushdown-join-condition-left,14
2,0,3,269,563,pushdown-join-condition-left-1,3
2,0,3,269,563,pushdown-join-condition-right-1,1
2,0,3,269,563,identical-proj,3
2,0,3,269,563,pushdown-proj-proj,2
2,0,3,269,563,pushdown-proj-filter,49
2,0,3,269,563,pushdown-proj-join,7
2,0,3,269,563,pushdown-proj-scan,1
2,0,4,778,2482,eq-trans,1
2,0,4,778,2482,and-true,37
2,0,4,778,2482,and-comm,541
2,0,4,778,2482,filter-true,9
2,0,4,778,2482,pushdown-filter-proj,330
2,0,4,778,2482,pushdown-filter-inner-join,208
2,0,4,778,2482,pushdown-join-condition-left-1,17
2,0,4,778,2482,pushdown-join-condition-right-1,1
2,0,4,778,2482,identical-proj,5
2,0,4,778,2482,pushdown-proj-proj,14
2,0,4,778,2482,pushdown-proj-join,54
2,0,4,778,2482,pushdown-proj-scan,1
2,0,5,742,3750,and-true,8
2,0,5,742,3750,filter-true,18
2,0,5,742,3750,pushdown-filter-proj,135
2,0,5,742,3750,pushdown-filter-inner-join,225
2,0,5,742,3750,pushdown-join-condition-left-1,103
2,0,5,742,3750,pushdown-join-condition-right-1,2
2,0,5,742,3750,identical-proj,18
2,0,5,742,3750,pushdown-proj-proj,28
2,0,5,742,3750,pushdown-proj-join,133
2,0,5,742,3750,pushdown-proj-scan,1
