Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,0,82,82,eq-comm,6
3,0,0,82,82,and-comm,2
3,0,0,82,82,inner-join-right-rotate,1
3,0,0,82,82,inner-join-right-rotate-1,3
3,0,0,82,82,inner-join-swap,4
3,0,0,82,82,pushdown-join-condition-left-1,1
3,0,0,82,82,pushdown-join-condition-right-1,1
3,0,0,82,82,pushdown-proj-order,1
3,0,0,82,82,pushdown-proj-filter,1
3,0,0,82,82,pushdown-proj-hashagg,1
3,0,0,82,82,pushdown-proj-join,4
3,0,1,118,143,and-comm,4
3,0,1,118,143,and-assoc,4
3,0,1,118,143,filter-true,2
3,0,1,118,143,inner-join-right-rotate,1
3,0,1,118,143,inner-join-right-rotate-1,18
3,0,1,118,143,inner-join-swap,9
3,0,1,118,143,hash-join-on-one-eq,6
3,0,1,118,143,hash-join-on-two-eq,13
3,0,1,118,143,hash-join-on-three-eq,2
3,0,1,118,143,hash-join-on-one-eq-1,14
3,0,1,118,143,pushdown-filter-proj,3
3,0,1,118,143,pushdown-join-condition-left-1,3
3,0,1,118,143,pushdown-join-condition-right,1
3,0,1,118,143,pushdown-join-condition-right-1,4
3,0,1,118,143,identical-proj,10
3,0,1,118,143,pushdown-proj-order,1
3,0,1,118,143,pushdown-proj-hashagg,1
3,0,1,118,143,pushdown-proj-join,5
3,0,2,198,350,and-true,1
3,0,2,198,350,and-comm,16
3,0,2,198,350,and-assoc,24
3,0,2,198,350,filter-true,5
3,0,2,198,350,filter-merge,1
3,0,2,198,350,filter-split,4
3,0,2,198,350,inner-join-right-rotate,18
3,0,2,198,350,inner-join-right-rotate-1,49
3,0,2,198,350,inner-join-swap,21
3,0,2,198,350,inner-hash-join-swap,3
3,0,2,198,350,hash-join-on-two-eq,7
3,0,2,198,350,hash-join-on-three-eq,4
3,0,2,198,350,hash-join-on-one-eq-1,11
3,0,2,198,350,hash-join-on-one-eq-rev,14
3,0,2,198,350,hash-join-on-two-eq-rev,3
3,0,2,198,350,hash-join-on-three-eq-rev,1
3,0,2,198,350,pushdown-filter-inner-join,1
3,0,2,198,350,pushdown-join-condition-left,3
3,0,2,198,350,pushdown-join-condition-left-1,11
3,0,2,198,350,pushdown-join-condition-right,11
3,0,2,198,350,pushdown-join-condition-right-1,8
3,0,2,198,350,identical-proj,10
3,0,2,198,350,pushdown-proj-filter,10
3,0,2,198,350,pushdown-proj-join,11
3,0,3,354,828,and-true,10
3,0,3,354,828,and-comm,46
3,0,3,354,828,and-assoc,57
3,0,3,354,828,filter-true,7
3,0,3,354,828,filter-split,26
3,0,3,354,828,inner-join-right-rotate,53
3,0,3,354,828,inner-join-right-rotate-1,148
3,0,3,354,828,inner-join-swap,66
3,0,3,354,828,inner-hash-join-swap,12
3,0,3,354,828,hash-join-on-one-eq,1
3,0,3,354,828,hash-join-on-two-eq,10
3,0,3,354,828,hash-join-on-three-eq,8
3,0,3,354,828,hash-join-on-one-eq-1,58
3,0,3,354,828,hash-join-on-one-eq-rev,18
3,0,3,354,828,pushdown-filter-proj,46
3,0,3,354,828,pushdown-filter-inner-join,16
3,0,3,354,828,pushdown-join-condition-left,18
3,0,3,354,828,pushdown-join-condition-left-1,10
3,0,3,354,828,pushdown-join-condition-right,58
3,0,3,354,828,pushdown-join-condition-right-1,12
3,0,3,354,828,identical-proj,10
3,0,3,354,828,pushdown-proj-filter,22
3,0,3,354,828,pushdown-proj-join,30
3,0,4,883,2188,and-true,6
3,0,4,883,2188,and-comm,77
3,0,4,883,2188,and-assoc,182
3,0,4,883,2188,filter-true,52
3,0,4,883,2188,filter-merge,10
3,0,4,883,2188,filter-split,434
3,0,4,883,2188,inner-join-right-rotate,199
3,0,4,883,2188,inner-join-swap,260
3,0,4,883,2188,inner-hash-join-swap,13
3,0,4,883,2188,hash-join-on-one-eq,23
3,0,4,883,2188,hash-join-on-two-eq,56
3,0,4,883,2188,hash-join-on-one-eq-rev,47
3,0,4,883,2188,pushdown-filter-proj,269
3,0,4,883,2188,pushdown-filter-inner-join,92
3,0,4,883,2188,pushdown-join-condition-left-1,5
3,0,4,883,2188,pushdown-join-condition-right-1,29
3,0,4,883,2188,identical-proj,31
3,0,4,883,2188,pushdown-proj-proj,4
3,0,4,883,2188,pushdown-proj-filter,123
3,0,4,883,2188,pushdown-proj-join,152
3,0,5,1999,5541,and-true,18
3,0,5,1999,5541,and-comm,131
3,0,5,1999,5541,filter-true,161
3,0,5,1999,5541,inner-join-right-rotate,431
3,0,5,1999,5541,inner-hash-join-swap,148
3,0,5,1999,5541,hash-join-on-one-eq,57
3,0,6,1913,6442,inner-hash-join-swap,65
3,0,6,1913,6442,hash-join-on-one-eq,15
3,0,6,1913,6442,hash-join-on-one-eq-rev,21
3,0,6,1913,6442,hash-join-on-two-eq-rev,40
3,0,7,1905,6577,inner-hash-join-swap,28
3,0,7,1905,6577,hash-join-on-one-eq-rev,34
