Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,1,0,98,98,mul-comm,2
2,1,0,98,98,eq-comm,6
2,1,0,98,98,eq-trans,1
2,1,0,98,98,and-comm,4
2,1,0,98,98,and-assoc,3
2,1,0,98,98,filter-split,1
2,1,0,98,98,pushdown-filter-inner-join,2
2,1,0,98,98,pushdown-join-condition-left-1,4
2,1,0,98,98,pushdown-join-condition-right-1,4
2,1,0,98,98,identical-proj,2
2,1,0,98,98,pushdown-proj-order,1
2,1,0,98,98,pushdown-proj-filter,1
2,1,0,98,98,pushdown-proj-hashagg,1
2,1,0,98,98,pushdown-proj-join,2
2,1,0,98,98,pushdown-proj-scan,3
2,1,1,126,164,eq-comm,1
2,1,1,126,164,eq-trans,2
2,1,1,126,164,and-true,2
2,1,1,126,164,and-comm,9
2,1,1,126,164,and-assoc,15
2,1,1,126,164,filter-true,8
2,1,1,126,164,filter-merge,1
2,1,1,126,164,filter-split,5
2,1,1,126,164,pushdown-filter-proj,6
2,1,1,126,164,pushdown-filter-inner-join,3
2,1,1,126,164,pushdown-join-condition-left-1,1
2,1,1,126,164,pushdown-join-condition-right-1,1
2,1,1,126,164,identical-proj,8
2,1,1,126,164,pushdown-proj-order,1
2,1,1,126,164,pushdown-proj-filter,1
2,1,1,126,164,pushdown-proj-hashagg,1
2,1,1,126,164,pushdown-proj-join,2
2,1,2,137,250,eq-comm,1
2,1,2,137,250,eq-trans,2
2,1,2,137,250,and-true,3
2,1,2,137,250,and-comm,26
2,1,2,137,250,and-assoc,66
2,1,2,137,250,filter-true,2
2,1,2,137,250,filter-merge,2
2,1,2,137,250,filter-split,44
2,1,2,137,250,pushdown-filter-proj,2
2,1,2,137,250,pushdown-filter-inner-join,5
2,1,2,137,250,pushdown-join-condition-left,3
2,1,2,137,250,pushdown-join-condition-left-1,1
2,1,2,137,250,pushdown-join-condition-right,1
2,1,2,137,250,pushdown-join-condition-right-1,1
2,1,2,137,250,identical-proj,6
2,1,2,137,250,pushdown-proj-filter,6
2,1,2,137,250,pushdown-proj-join,6
2,1,3,203,506,eq-trans,1
2,1,3,203,506,and-true,11
2,1,3,203,506,and-comm,70
2,1,3,203,506,and-assoc,152
2,1,3,203,506,filter-true,4
2,1,3,203,506,filter-merge,52
2,1,3,203,506,filter-split,198
2,1,3,203,506,pushdown-filter-proj,9
2,1,3,203,506,pushdown-filter-inner-join,26
2,1,3,203,506,pushdown-join-condition-left,17
2,1,3,203,506,pushdown-join-condition-left-1,2
2,1,3,203,506,pushdown-join-condition-right,1
2,1,3,203,506,identical-proj,3
2,1,3,203,506,pushdown-proj-filter,36
2,1,3,203,506,pushdown-proj-join,2
2,1,4,383,1313,and-true,22
2,1,4,383,1313,and-comm,113
2,1,4,383,1313,filter-true,5
2,1,4,383,1313,filter-merge,237
2,1,4,383,1313,pushdown-filter-proj,153
2,1,4,383,1313,pushdown-filter-inner-join,76
2,1,4,383,1313,pushdown-join-condition-left,36
2,1,4,383,1313,pushdown-join-condition-left-1,4
2,1,4,383,1313,identical-proj,3
2,1,4,383,1313,pushdown-proj-filter,330
2,1,4,383,1313,pushdown-proj-join,24
2,1,5,885,2847,and-true,3
2,1,5,885,2847,and-comm,33
2,1,5,885,2847,filter-true,36
2,1,5,885,2847,pushdown-filter-inner-join,287
2,1,5,885,2847,pushdown-join-condition-left-1,5
2,1,5,885,2847,identical-proj,79
