Stage,Rule_Name,Total_Applications,Rank
3,inner-join-right-rotate,799,1
3,filter-split,536,2
3,inner-join-swap,390,3
3,pushdown-filter-proj,348,4
3,and-assoc,312,5
3,inner-hash-join-swap,310,6
3,filter-true,299,7
3,and-comm,290,8
3,pushdown-proj-filter,265,9
3,inner-join-right-rotate-1,247,10
3,pushdown-proj-join,231,11
3,hash-join-on-one-eq,144,12
3,hash-join-on-one-eq-1,96,13
3,hash-join-on-one-eq-rev,91,14
3,pushdown-filter-inner-join,82,15
3,hash-join-on-two-eq,70,16
3,pushdown-join-condition-right,57,17
3,identical-proj,52,18
3,hash-join-on-two-eq-rev,49,19
3,pushdown-join-condition-right-1,30,20
3,and-true,24,21
3,hash-join-on-three-eq,24,22
3,pushdown-join-condition-left-1,21,23
3,pushdown-join-condition-left,20,24
3,eq-comm,6,25
3,pushdown-proj-proj,3,26
3,pushdown-proj-order,2,27
3,pushdown-proj-hashagg,2,28
3,filter-merge,1,29
