Stage,Class_ID,Node_Count,Nodes
2,0,1,Constant(Bool(true))
2,1,1,Column($0.1(1))
2,2,1,Column($0.0(1))
2,3,1,"List([2, 1])"
2,4,1,Table($0)
2,5,2,"Scan([4, 3, 0]); Proj([3, 5])"
2,6,1,Column($0.1)
2,7,1,Column($0.0)
2,8,1,"List([7, 6])"
2,9,2,"Scan([4, 8, 0]); Proj([8, 9])"
2,10,1,Column($5.3)
2,11,1,Column($5.0)
2,12,1,"List([11, 10])"
2,13,1,Table($5)
2,14,2,"Scan([13, 12, 0]); Proj([12, 14])"
2,15,1,Column($6.1)
2,16,1,Column($6.0)
2,17,1,"List([16, 15])"
2,18,1,Table($6)
2,19,2,"Scan([18, 17, 0]); Proj([17, 19])"
2,20,1,Column($7.10)
2,21,1,Column($7.6)
2,22,1,Column($7.5)
2,23,1,Column($7.2)
2,24,1,Column($7.0)
2,25,1,"List([24, 23, 22, 21, 20])"
2,26,1,Table($7)
2,27,2,"Scan([26, 25, 0]); Proj([25, 27])"
2,28,1,Constant(Date(Date(9131)))
2,29,2,"GtEq([20, 28]); LtEq([28, 20])"
2,30,1,Constant(Date(Date(9861)))
2,31,2,"GtEq([30, 20]); LtEq([20, 30])"
2,32,2,"And([29, 31]); And([31, 29])"
2,33,4,"Proj([25, 33]); Filter([29, 130]); Filter([31, 102]); Filter([32, 27])"
2,34,1,Column($3.3)
2,35,1,Column($3.0)
2,36,1,"List([35, 34])"
2,37,1,Table($3)
2,38,2,"Scan([37, 36, 0]); Proj([36, 38])"
2,39,2,"Eq([23, 35]); Eq([35, 23])"
2,40,1,Inner
2,41,1,"Join([40, 39, 38, 33])"
2,42,1,"List([34, 24, 22, 21, 20])"
2,43,2,"Proj([42, 41]); Proj([42, 43])"
2,44,2,"Eq([16, 24]); Eq([24, 16])"
2,45,1,"Join([40, 44, 43, 19])"
2,46,1,"List([34, 22, 21, 20, 15])"
2,47,2,"Proj([46, 45]); Proj([46, 47])"
2,48,2,"Eq([11, 15]); Eq([15, 11])"
2,49,1,"Join([40, 48, 47, 14])"
2,50,1,"List([34, 22, 21, 20, 10])"
2,51,2,"Proj([50, 49]); Proj([50, 51])"
2,52,2,"Eq([7, 34]); Eq([34, 7])"
2,53,1,"Join([40, 52, 51, 9])"
2,54,1,"List([22, 21, 20, 10, 6])"
2,55,2,"Proj([54, 53]); Proj([54, 55])"
2,56,1,"Constant(String(""UNITED STATES""))"
2,57,2,"Eq([6, 56]); Eq([56, 6])"
2,58,1,"Constant(String(""CHINA""))"
2,59,2,"Eq([1, 58]); Eq([58, 1])"
2,60,2,"And([57, 59]); And([59, 57])"
2,61,2,"Eq([6, 58]); Eq([58, 6])"
2,62,2,"Eq([1, 56]); Eq([56, 1])"
2,63,2,"And([61, 62]); And([62, 61])"
2,64,2,"Or([60, 63]); Or([63, 60])"
2,65,2,"Eq([2, 10]); Eq([10, 2])"
2,66,2,"And([64, 65]); And([65, 64])"
2,67,1,"Join([40, 66, 55, 5])"
2,68,1,Constant(Int32(1))
2,69,1,"Sub([68, 21])"
2,70,2,"Mul([22, 69]); Mul([69, 22])"
2,71,1,Field(DateTimeField(Year))
2,72,1,"Extract([71, 20])"
2,73,1,"List([6, 1, 72, 70])"
2,74,1,"Proj([73, 67])"
2,75,1,Ref(70)
2,76,1,Sum(75)
2,77,1,List([76])
2,78,1,Ref(72)
2,79,1,"List([6, 1, 78])"
2,80,2,"HashAgg([79, 77, 74]); HashAgg([79, 77, 108])"
2,81,1,"Order([79, 80])"
2,82,1,Ref(76)
2,83,1,"List([6, 1, 78, 82])"
2,84,2,"Proj([25, 130]); Filter([31, 27])"
2,85,2,"Proj([25, 102]); Filter([29, 27])"
2,86,2,"Proj([83, 80]); Proj([83, 104])"
2,87,3,"Proj([83, 81]); Proj([83, 105]); Order([79, 104])"
2,88,1,"List([6, 1, 78, 75])"
2,89,2,"Proj([107, 74]); Proj([107, 108])"
