Stage,Rule_Name,Total_Applications,Rank
3,inner-join-right-rotate,763,1
3,filter-split,454,2
3,pushdown-filter-proj,451,3
3,inner-join-swap,422,4
3,filter-true,403,5
3,and-assoc,317,6
3,inner-join-right-rotate-1,302,7
3,and-comm,299,8
3,pushdown-proj-join,265,9
3,inner-hash-join-swap,260,10
3,pushdown-proj-filter,184,11
3,hash-join-on-one-eq,137,12
3,hash-join-on-one-eq-rev,125,13
3,hash-join-on-one-eq-1,114,14
3,pushdown-filter-inner-join,101,15
3,hash-join-on-two-eq,81,16
3,pushdown-join-condition-right,69,17
3,pushdown-join-condition-right-1,62,18
3,identical-proj,51,19
3,hash-join-on-two-eq-rev,36,20
3,pushdown-join-condition-left-1,33,21
3,hash-join-on-three-eq,30,22
3,and-true,27,23
3,pushdown-join-condition-left,25,24
3,hash-join-on-three-eq-rev,12,25
3,eq-comm,7,26
3,filter-merge,4,27
3,pushdown-proj-order,2,28
3,pushdown-proj-hashagg,1,29
