Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,32,32,mul-comm,1
2,0,32,32,gt-comm,2
2,0,32,32,ge-comm,3
2,0,32,32,and-comm,3
2,0,32,32,and-assoc,1
2,0,32,32,filter-split,2
2,0,32,32,pushdown-filter-proj,1
2,0,32,32,pushdown-proj-filter,1
2,0,32,32,pushdown-proj-agg,1
2,1,39,54,and-comm,2
2,1,39,54,and-assoc,1
2,1,39,54,filter-merge,2
2,1,39,54,filter-split,10
2,1,39,54,pushdown-filter-proj,4
2,1,39,54,identical-proj,2
2,1,39,54,pushdown-proj-filter,3
2,2,52,97,and-comm,4
2,2,52,97,and-assoc,5
2,2,52,97,filter-merge,13
2,2,52,97,filter-split,6
2,2,52,97,pushdown-filter-proj,14
2,2,52,97,identical-proj,2
2,2,52,97,pushdown-proj-filter,4
2,3,77,172,and-comm,19
2,3,77,172,and-assoc,35
2,3,77,172,filter-merge,31
2,3,77,172,filter-split,9
2,3,77,172,pushdown-filter-proj,15
2,3,77,172,identical-proj,1
2,3,77,172,pushdown-proj-filter,7
2,4,102,317,and-comm,42
2,4,102,317,and-assoc,30
2,4,102,317,filter-merge,18
2,4,102,317,filter-split,45
2,4,102,317,pushdown-filter-proj,24
2,4,102,317,identical-proj,1
2,4,102,317,pushdown-proj-filter,5
2,5,118,511,and-comm,14
2,5,118,511,and-assoc,24
2,5,118,511,filter-merge,41
2,5,118,511,filter-split,114
2,5,118,511,pushdown-filter-proj,26
2,5,118,511,pushdown-proj-filter,4
