Stage,Class_ID,Node_Count,Nodes
1,0,1,Constant(Bool(true))
1,1,1,Column($7.15(1))
1,2,1,Column($7.14(1))
1,3,1,Column($7.13(1))
1,4,1,Column($7.12(1))
1,5,1,Column($7.11(1))
1,6,1,Column($7.10(1))
1,7,1,Column($7.9(1))
1,8,1,Column($7.8(1))
1,9,1,Column($7.7(1))
1,10,1,Column($7.6(1))
1,11,1,Column($7.5(1))
1,12,1,Column($7.4(1))
1,13,1,Column($7.3(1))
1,14,1,Column($7.2(1))
1,15,1,Column($7.1(1))
1,16,1,Column($7.0(1))
1,17,1,"List([16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1])"
1,18,1,Table($7)
1,19,1,"Scan([18, 17, 0])"
1,20,1,Column($7.0)
1,21,2,"Eq([16, 20]); Eq([20, 16])"
1,22,1,Column($7.2)
1,23,1,"NotEq([14, 22])"
1,24,2,"And([21, 23]); And([23, 21])"
1,25,3,"Filter([21, 167]); Filter([23, 146]); Filter([24, 19])"
1,26,1,Column($7.15(2))
1,27,1,Column($7.14(2))
1,28,1,Column($7.13(2))
1,29,1,Column($7.12(2))
1,30,1,Column($7.11(2))
1,31,1,Column($7.10(2))
1,32,1,Column($7.9(2))
1,33,1,Column($7.8(2))
1,34,1,Column($7.7(2))
1,35,1,Column($7.6(2))
1,36,1,Column($7.5(2))
1,37,1,Column($7.4(2))
1,38,1,Column($7.3(2))
1,39,1,Column($7.2(2))
1,40,1,Column($7.1(2))
1,41,1,Column($7.0(2))
1,42,1,"List([41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26])"
1,43,1,"Scan([18, 42, 0])"
1,44,1,"Gt([29, 30])"
1,45,1,"Filter([44, 43])"
1,46,1,Column($0.3)
1,47,1,Column($0.2)
1,48,1,Column($0.1)
1,49,1,Column($0.0)
1,50,1,"List([49, 48, 47, 46])"
1,51,1,Table($0)
1,52,1,"Scan([51, 50, 0])"
1,53,1,Column($6.8)
1,54,1,Column($6.7)
1,55,1,Column($6.6)
1,56,1,Column($6.5)
1,57,1,Column($6.4)
1,58,1,Column($6.3)
1,59,1,Column($6.2)
1,60,1,Column($6.1)
1,61,1,Column($6.0)
1,62,1,"List([61, 60, 59, 58, 57, 56, 55, 54, 53])"
1,63,1,Table($6)
1,64,1,"Scan([63, 62, 0])"
1,65,1,Column($7.15)
1,66,1,Column($7.14)
1,67,1,Column($7.13)
1,68,1,Column($7.12)
1,69,1,Column($7.11)
1,70,1,Column($7.10)
1,71,1,Column($7.9)
1,72,1,Column($7.8)
1,73,1,Column($7.7)
1,74,1,Column($7.6)
1,75,1,Column($7.5)
1,76,1,Column($7.4)
1,77,1,Column($7.3)
1,78,1,Column($7.1)
1,79,1,"List([20, 78, 22, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65])"
1,80,1,"Scan([18, 79, 0])"
1,81,1,Column($3.6)
1,82,1,Column($3.5)
1,83,1,Column($3.4)
1,84,1,Column($3.3)
1,85,1,Column($3.2)
1,86,1,Column($3.1)
1,87,1,Column($3.0)
1,88,1,"List([87, 86, 85, 84, 83, 82, 81])"
1,89,1,Table($3)
1,90,1,"Scan([89, 88, 0])"
1,91,1,Inner
1,92,1,"Join([91, 0, 90, 80])"
1,93,1,"Join([91, 0, 92, 64])"
1,94,1,"Join([91, 0, 93, 52])"
1,95,2,"Eq([49, 84]); Eq([84, 49])"
1,96,1,"Constant(String(""SAUDI ARABIA""))"
1,97,2,"Eq([48, 96]); Eq([96, 48])"
1,98,2,"And([95, 97]); And([97, 95])"
1,99,3,"Filter([95, 169]); Filter([97, 148]); Filter([98, 94])"
1,100,2,"Eq([20, 41]); Eq([41, 20])"
1,101,1,"NotEq([39, 22])"
1,102,2,"And([100, 101]); And([101, 100])"
1,103,1,Anti
1,104,1,"Join([103, 102, 99, 45])"
1,105,2,"Eq([22, 87]); Eq([87, 22])"
1,106,2,"Eq([20, 61]); Eq([61, 20])"
