Stage,Rule_Name,Total_Applications,Rank
3,filter-split,614,1
3,inner-hash-join-swap,258,2
3,inner-join-swap,219,3
3,inner-join-right-rotate-1,201,4
3,hash-join-on-one-eq-1,196,5
3,pushdown-proj-filter,189,6
3,filter-true,165,7
3,pushdown-filter-proj,164,8
3,inner-join-right-rotate,151,9
3,hash-join-on-one-eq-rev,112,10
3,hash-join-on-two-eq,112,11
3,pushdown-join-condition-right,110,12
3,pushdown-filter-inner-join,85,13
3,identical-proj,77,14
3,pushdown-proj-join,76,15
3,hash-join-on-one-eq,69,16
3,pushdown-proj-proj,69,17
3,pushdown-join-condition-left,37,18
3,pushdown-join-condition-right-1,33,19
3,hash-join-on-three-eq,24,20
3,and-comm,18,21
3,pushdown-join-condition-left-1,7,22
3,and-true,7,23
3,and-assoc,6,24
3,hash-join-on-three-eq-rev,6,25
3,eq-comm,4,26
3,filter-merge,4,27
3,pushdown-proj-topn,2,28
3,pushdown-proj-hashagg,1,29
