Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,47,47,and-comm,1
3,0,47,47,filter-split,1
3,0,47,47,inner-hash-join-swap,1
3,0,47,47,hash-join-on-one-eq-rev,1
3,0,47,47,pushdown-proj-filter,1
3,0,47,47,pushdown-proj-agg,1
3,1,54,60,eq-comm,1
3,1,54,60,and-true,1
3,1,54,60,and-comm,1
3,1,54,60,filter-split,3
3,1,54,60,inner-join-swap,1
3,1,54,60,hash-join-on-one-eq-rev,2
3,1,54,60,pushdown-filter-proj,1
3,1,54,60,pushdown-join-condition-left,1
3,1,54,60,pushdown-join-condition-right,1
3,1,54,60,identical-proj,2
3,1,54,60,pushdown-proj-filter,1
3,1,54,60,pushdown-proj-join,1
3,2,58,83,filter-true,2
3,2,58,83,inner-join-swap,1
3,2,58,83,hash-join-on-one-eq,1
3,2,58,83,hash-join-on-one-eq-1,3
3,2,58,83,pushdown-filter-proj,5
3,2,58,83,pushdown-join-condition-left,1
3,2,58,83,pushdown-join-condition-right,1
3,2,58,83,identical-proj,2
3,3,52,100,filter-true,1
3,3,52,100,filter-merge,3
3,3,52,100,pushdown-proj-filter,2
3,4,58,112,and-true,3
3,4,58,112,and-comm,3
3,4,58,112,filter-true,2
3,4,58,112,inner-join-swap,1
3,4,58,112,pushdown-filter-proj,1
3,4,58,112,pushdown-proj-filter,2
3,5,53,120,filter-split,7
3,5,53,120,pushdown-proj-filter,1
3,6,54,129,filter-true,1
3,7,53,129,None,0
