Stage,Rule_Name,Total_Applications,Rank
2,and-comm,30,1
2,identical-proj,18,2
2,and-assoc,18,3
2,pushdown-proj-join,15,4
2,pushdown-join-condition-right,15,5
2,eq-comm,10,6
2,pushdown-filter-proj,6,7
2,pushdown-join-condition-left,6,8
2,pushdown-join-condition-right-1,2,9
2,pushdown-proj-order,2,10
2,pushdown-join-condition-left-1,2,11
2,pushdown-proj-hashagg,2,12
2,filter-split,2,13
2,ge-comm,2,14
2,filter-true,2,15
2,mul-comm,1,16
2,pushdown-filter-inner-join,1,17
2,pushdown-proj-filter,1,18
2,pushdown-proj-proj,1,19
