Stage,Rule_Name,Total_Applications,Rank
3,pushdown-filter-proj,713,1
3,inner-join-right-rotate,710,2
3,inner-join-right-rotate-1,690,3
3,filter-true,595,4
3,filter-split,413,5
3,inner-hash-join-swap,379,6
3,hash-join-on-one-eq,264,7
3,and-comm,260,8
3,pushdown-proj-filter,253,9
3,hash-join-on-one-eq-rev,233,10
3,and-assoc,210,11
3,inner-join-swap,159,12
3,hash-join-on-one-eq-1,149,13
3,pushdown-filter-inner-join,116,14
3,pushdown-join-condition-right,105,15
3,pushdown-proj-join,105,16
3,identical-proj,64,17
3,hash-join-on-two-eq,57,18
3,pushdown-join-condition-left,32,19
3,pushdown-join-condition-left-1,23,20
3,and-true,23,21
3,hash-join-on-two-eq-rev,23,22
3,pushdown-join-condition-right-1,19,23
3,hash-join-on-three-eq-rev,12,24
3,hash-join-on-three-eq,12,25
3,eq-comm,10,26
3,filter-merge,5,27
3,pushdown-proj-proj,3,28
3,pushdown-proj-order,2,29
3,pushdown-proj-hashagg,2,30
