Class_ID,Node_Count
0,1
1,1
2,1
3,1
4,1
5,3
6,1
7,1
8,1
9,1
10,3
11,1
12,1
13,1
14,1
15,3
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,3
24,1
25,3
26,1
27,3
28,4
29,5
30,1
31,1
32,1
33,3
34,1
35,1
36,7
37,1
38,1
39,17
40,1
41,90
42,1
43,1
44,1
45,1
46,3
47,1
48,1
49,3
50,1
51,1
52,1
53,3
54,1
55,1
56,3
57,1
58,68
59,1
60,2
61,1
62,2
63,2
64,2
65,2
66,2
67,3
68,73
69,1
70,1
71,1
72,1
73,1
74,1
75,32
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,1
84,1
85,100
86,3
87,7
88,3
89,4
90,2
91,4
92,1
93,4
94,3
95,4
96,1
97,4
98,3
99,3
100,2
101,3
102,4
103,4
104,4
105,4
106,14
107,4
108,1
109,3
110,1
111,25
112,1
113,6
114,50
115,55
116,4
117,6
118,1
119,12
120,6
121,3
122,8
123,12
124,4
125,11
126,4
127,58
128,8
129,3
130,6
131,3
132,9
133,1
134,4
135,7
136,4
137,9
138,3
139,1
140,1
141,1
142,1
143,8
144,1
145,4
146,4
147,1
148,5
149,1
150,43
151,6
152,3
153,1
154,14
155,1
156,1
157,2
158,8
159,4
160,4
161,6
162,4
163,16
164,5
165,68
166,7
167,8
168,1
169,14
170,4
171,6
172,5
173,1
174,4
175,4
176,17
177,8
178,6
179,22
180,16
181,8
182,7
183,8
184,5
185,6
186,4
187,8
188,9
189,7
190,13
191,5
192,1
193,10
194,1
195,19
196,8
197,1
198,9
199,4
200,3
201,2
202,5
203,28
204,11
205,3
206,4
207,3
208,1
209,4
210,5
211,3
212,5
213,5
214,5
215,3
216,3
217,6
218,3
219,16
220,8
221,8
222,4
223,3
224,1
225,1
226,1
227,1
228,12
229,8
230,8
231,2
232,1
233,2
234,1
235,16
236,3
237,4
238,8
239,6
240,6
241,3
242,2
243,3
244,2
245,3
246,4
247,3
248,3
249,4
250,1
251,2
252,3
253,3
254,3
255,2
256,2
257,5
258,3
259,9
260,7
261,1
262,3
263,9
264,1
265,3
266,5
267,4
268,4
269,16
270,2
271,5
272,1
273,2
274,6
275,1
276,7
277,1
278,2
279,5
280,10
281,1
282,3
283,1
284,8
285,1
286,3
287,16
288,6
289,1
290,30
291,1
292,1
293,14
294,2
295,1
296,2
297,5
298,3
299,1
300,2
301,2
302,2
303,4
304,2
305,5
306,4
307,2
308,4
309,3
310,3
311,4
312,4
313,1
314,3
315,3
316,8
317,7
318,12
319,2
320,20
321,2
322,34
323,1
324,4
325,5
326,5
327,6
328,4
329,1
330,1
331,1
332,4
333,1
334,2
335,2
336,13
337,3
338,11
339,1
340,3
341,1
342,2
343,1
344,4
345,5
346,4
347,2
348,1
349,1
350,1
351,2
352,2
353,2
354,5
355,2
356,5
357,3
358,4
359,1
360,3
361,5
362,1
363,3
364,7
365,6
366,3
367,2
368,4
369,1
370,5
371,2
372,5
373,8
374,16
375,7
376,3
377,3
378,3
379,9
380,4
381,1
382,6
383,3
384,3
385,5
386,5
387,4
388,9
389,3
390,12
391,1
392,2
393,3
394,7
395,6
396,2
397,1
398,6
399,7
400,9
401,1
402,8
403,1
404,7
405,1
406,8
407,3
408,7
409,7
410,10
411,9
412,7
413,9
414,7
415,6
416,1
417,7
418,3
419,8
420,6
421,2
422,3
423,2
424,6
425,5
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,3
441,3
442,3
443,1
444,1
445,3
446,1
447,3
448,5
449,1
450,2
451,3
452,3
453,6
454,3
455,5
456,5
457,4
458,9
459,1
460,7
461,18
462,28
463,1
464,4
465,2
466,6
467,3
468,2
469,7
470,1
471,2
472,6
473,1
474,3
475,12
476,9
477,2
478,1
479,1
480,12
481,10
482,5
483,1
484,13
485,4
486,4
487,2
488,2
489,2
490,1
491,4
492,2
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,4
501,6
502,1
503,6
504,1
505,1
506,2
507,2
508,1
509,2
510,4
511,4
512,1
513,1
514,2
515,2
516,8
517,2
518,2
519,8
520,1
521,2
522,1
523,3
524,6
525,5
526,2
527,1
528,2
529,1
530,5
531,2
532,1
533,4
534,2
535,3
536,1
537,2
538,3
539,1
540,2
541,1
542,1
543,2
544,2
545,1
546,5
547,2
548,1
549,2
550,3
551,2
552,2
553,2
554,2
555,2
556,2
557,1
558,1
559,2
560,3
561,1
562,3
563,4
564,4
565,3
566,1
567,1
568,1
569,3
570,1
571,3
572,3
573,2
574,5
575,3
576,1
577,2
578,5
579,4
580,5
581,9
582,7
583,4
584,5
585,5
586,4
587,1
588,4
589,5
590,4
591,3
592,3
593,3
594,1
595,1
596,6
597,4
598,5
599,6
600,7
601,4
602,5
603,5
604,4
605,1
606,1
607,2
608,1
609,4
610,1
611,1
612,5
613,4
614,3
615,2
616,4
617,4
618,3
619,3
620,3
621,3
622,2
623,1
624,1
625,1
626,3
627,1
628,3
629,5
630,1
631,2
632,5
633,6
634,8
635,2
636,8
637,5
638,4
639,6
640,6
641,5
642,5
643,4
644,3
645,5
646,1
647,4
648,4
649,3
650,2
651,1
652,1
653,5
654,4
655,3
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,3
668,4
669,4
670,3
671,4
672,4
673,3
674,3
675,3
676,3
677,3
678,1
679,1
680,3
681,3
682,3
683,5
684,3
685,1
686,1
687,3
688,1
689,1
690,1
691,1
692,1
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,4
701,5
702,3
703,3
704,2
705,3
706,3
707,3
708,3
709,4
710,4
711,3
712,3
713,5
714,2
715,4
716,3
717,3
718,3
719,4
720,5
721,5
722,1
723,1
724,4
725,4
726,2
727,8
728,4
729,5
730,4
731,4
732,4
733,4
734,4
735,7
736,4
737,4
738,5
739,4
740,4
741,1
742,1
743,1
744,1
745,1
746,1
747,2
748,2
749,1
750,2
751,2
752,2
753,3
754,1
755,2
756,5
757,1
758,1
759,2
760,1
761,1
762,6
763,1
764,2
765,2
766,1
767,5
768,3
769,2
770,1
771,1
772,3
773,1
774,1
775,25
776,2
777,2
778,2
779,2
780,2
781,1
782,1
783,3
784,2
785,3
786,1
787,1
788,2
789,3
790,3
791,4
792,5
793,4
794,2
795,1
796,2
797,2
798,2
799,1
800,2
801,1
802,1
803,2
804,1
805,3
806,1
807,2
808,1
809,1
810,2
