Class_ID,Node_Count
0,1
1,1
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,1
29,2
30,1
31,2
32,2
33,4
34,1
35,1
36,1
37,1
38,2
39,2
40,1
41,1
42,1
43,2
44,2
45,1
46,1
47,2
48,2
49,1
50,1
51,2
52,2
53,1
54,1
55,2
56,1
57,2
58,1
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,1
68,1
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,2
85,2
86,2
87,3
88,1
89,2
