Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,114,114,eq-comm,3
3,0,114,114,and-comm,1
3,0,114,114,filter-split,1
3,0,114,114,inner-hash-join-swap,5
3,0,114,114,hash-join-on-one-eq-rev,7
3,0,114,114,pushdown-proj-order,1
3,0,114,114,pushdown-proj-filter,2
3,0,114,114,pushdown-proj-hashagg,1
3,1,143,164,eq-comm,7
3,1,143,164,and-true,7
3,1,143,164,and-comm,7
3,1,143,164,filter-split,1
3,1,143,164,inner-join-right-rotate,1
3,1,143,164,inner-join-right-rotate-1,3
3,1,143,164,inner-join-swap,5
3,1,143,164,hash-join-on-one-eq-rev,12
3,1,143,164,pushdown-filter-proj,2
3,1,143,164,pushdown-join-condition-left,7
3,1,143,164,pushdown-join-condition-right,7
3,1,143,164,identical-proj,2
3,1,143,164,pushdown-proj-order,1
3,1,143,164,pushdown-proj-hashagg,1
3,1,143,164,pushdown-proj-join,5
3,2,178,269,and-comm,4
3,2,178,269,and-assoc,4
3,2,178,269,filter-true,14
3,2,178,269,filter-merge,3
3,2,178,269,inner-join-right-rotate,2
3,2,178,269,inner-join-right-rotate-1,21
3,2,178,269,inner-join-swap,11
3,2,178,269,inner-hash-join-swap,2
3,2,178,269,hash-join-on-one-eq,5
3,2,178,269,hash-join-on-two-eq,3
3,2,178,269,hash-join-on-one-eq-1,18
3,2,178,269,pushdown-filter-proj,4
3,2,178,269,pushdown-join-condition-left,5
3,2,178,269,pushdown-join-condition-right,6
3,2,178,269,identical-proj,10
3,2,178,269,pushdown-proj-join,12
3,3,245,500,and-true,3
3,3,245,500,and-comm,17
3,3,245,500,and-assoc,17
3,3,245,500,filter-true,6
3,3,245,500,filter-merge,2
3,3,245,500,filter-split,6
3,3,245,500,inner-join-right-rotate,16
3,3,245,500,inner-join-right-rotate-1,108
3,3,245,500,inner-join-swap,29
3,3,245,500,inner-hash-join-swap,5
3,3,245,500,hash-join-on-one-eq,9
3,3,245,500,hash-join-on-two-eq,20
3,3,245,500,hash-join-on-one-eq-1,34
3,3,245,500,hash-join-on-one-eq-rev,3
3,3,245,500,pushdown-filter-proj,17
3,3,245,500,pushdown-filter-inner-join,1
3,3,245,500,pushdown-join-condition-left,4
3,3,245,500,pushdown-join-condition-left-1,5
3,3,245,500,pushdown-join-condition-right,14
3,3,245,500,pushdown-join-condition-right-1,7
3,3,245,500,identical-proj,10
3,3,245,500,pushdown-proj-filter,12
3,3,245,500,pushdown-proj-join,15
3,4,516,1257,and-true,3
3,4,516,1257,and-comm,35
3,4,516,1257,and-assoc,45
3,4,516,1257,filter-true,25
3,4,516,1257,filter-split,71
3,4,516,1257,inner-join-right-rotate,89
3,4,516,1257,inner-join-right-rotate-1,558
3,4,516,1257,inner-join-swap,114
3,4,516,1257,inner-hash-join-swap,9
3,4,516,1257,hash-join-on-one-eq,16
3,4,516,1257,hash-join-on-two-eq,34
3,4,516,1257,hash-join-on-three-eq,12
3,4,516,1257,hash-join-on-one-eq-1,97
3,4,516,1257,hash-join-on-one-eq-rev,19
3,4,516,1257,pushdown-filter-proj,77
3,4,516,1257,pushdown-filter-inner-join,17
3,4,516,1257,pushdown-join-condition-left,16
3,4,516,1257,pushdown-join-condition-left-1,18
3,4,516,1257,pushdown-join-condition-right,78
3,4,516,1257,pushdown-join-condition-right-1,12
3,4,516,1257,identical-proj,12
3,4,516,1257,pushdown-proj-filter,46
3,4,516,1257,pushdown-proj-join,73
3,5,1862,4293,and-true,3
3,5,1862,4293,and-comm,70
3,5,1862,4293,and-assoc,144
3,5,1862,4293,filter-true,107
3,5,1862,4293,filter-split,334
3,5,1862,4293,inner-join-right-rotate,602
3,5,1862,4293,inner-hash-join-swap,94
3,5,1862,4293,hash-join-on-one-eq,105
3,5,1862,4293,hash-join-on-one-eq-rev,77
3,5,1862,4293,pushdown-filter-proj,613
3,5,1862,4293,pushdown-filter-inner-join,98
3,5,1862,4293,identical-proj,30
3,5,1862,4293,pushdown-proj-proj,3
3,5,1862,4293,pushdown-proj-filter,193
3,6,2563,7895,and-true,7
3,6,2563,7895,and-comm,126
3,6,2563,7895,filter-true,443
3,6,2563,7895,inner-hash-join-swap,214
3,6,2563,7895,hash-join-on-one-eq,129
3,6,2563,7895,hash-join-on-two-eq-rev,23
3,6,2563,7895,hash-join-on-three-eq-rev,12
3,7,2173,8511,inner-hash-join-swap,50
3,7,2173,8511,hash-join-on-one-eq-rev,115
