Stage,Rule_Name,Total_Applications,Rank
3,pushdown-filter-proj,4,1
3,filter-split,4,2
3,pushdown-proj-filter,2,3
3,identical-proj,2,4
3,and-comm,1,5
3,pushdown-proj-hashagg,1,6
3,filter-true,8,1
3,identical-proj,7,2
3,pushdown-filter-proj,6,3
3,pushdown-proj-filter,5,4
3,inner-join-swap,3,5
3,hash-join-on-one-eq-rev,3,6
3,pushdown-join-condition-left-1,2,7
3,eq-comm,2,8
3,pushdown-join-condition-right,2,9
3,pushdown-join-condition-right-1,2,10
3,pushdown-proj-join,2,11
3,pushdown-join-condition-left,2,12
3,inner-hash-join-swap,1,13
3,and-comm,1,14
3,hash-join-on-one-eq,1,15
3,pushdown-proj-agg,1,16
3,hash-join-on-one-eq-1,1,17
3,and-true,1,18
3,filter-split,4,1
3,pushdown-filter-proj,4,2
3,pushdown-proj-filter,2,3
3,identical-proj,2,4
3,pushdown-proj-hashagg,1,5
3,and-comm,1,6
3,filter-true,8,1
3,identical-proj,7,2
3,pushdown-filter-proj,6,3
3,pushdown-proj-filter,5,4
3,inner-join-swap,3,5
3,hash-join-on-one-eq-rev,3,6
3,pushdown-join-condition-right,2,7
3,pushdown-join-condition-left-1,2,8
3,pushdown-proj-join,2,9
3,eq-comm,2,10
3,pushdown-join-condition-left,2,11
3,pushdown-join-condition-right-1,2,12
3,and-true,1,13
3,hash-join-on-one-eq,1,14
3,pushdown-proj-agg,1,15
3,hash-join-on-one-eq-1,1,16
3,inner-hash-join-swap,1,17
3,and-comm,1,18
