Stage,Rule_Name,Total_Applications,Rank
2,pushdown-filter-proj,4,1
2,filter-split,4,2
2,pushdown-proj-filter,2,3
2,identical-proj,2,4
2,ge-comm,1,5
2,pushdown-proj-hashagg,1,6
2,mul-comm,1,7
2,gt-comm,1,8
2,and-comm,1,9
2,identical-proj,7,1
2,filter-true,6,2
2,pushdown-filter-proj,5,3
2,and-comm,2,4
2,pushdown-filter-inner-join,2,5
2,eq-comm,2,6
2,pushdown-proj-join,2,7
2,pushdown-join-condition-left-1,2,8
2,pushdown-join-condition-right-1,2,9
2,and-true,1,10
2,pushdown-join-condition-left,1,11
2,pushdown-join-condition-right,1,12
2,pushdown-proj-filter,1,13
2,pushdown-proj-agg,1,14
