Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,0,106,106,eq-comm,7
1,0,106,106,and-comm,7
1,0,106,106,and-assoc,5
1,0,106,106,filter-merge,1
1,0,106,106,filter-split,2
1,1,114,136,and-comm,11
1,1,114,136,and-assoc,23
1,1,114,136,filter-merge,3
1,1,114,136,filter-split,6
1,2,144,209,and-comm,48
1,2,144,209,and-assoc,163
1,2,144,209,filter-merge,17
1,2,144,209,filter-split,43
1,3,288,648,and-comm,247
1,3,288,648,filter-merge,237
1,3,288,648,filter-split,368
1,4,596,1808,and-comm,125
1,5,596,1933,None,0
