Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,70,70,mul-comm,1
2,0,70,70,eq-comm,4
2,0,70,70,gt-comm,1
2,0,70,70,ge-comm,1
2,0,70,70,and-comm,1
2,0,70,70,filter-split,1
2,0,70,70,pushdown-proj-topn,1
2,0,70,70,pushdown-proj-filter,2
2,0,70,70,pushdown-proj-hashagg,1
2,0,70,70,pushdown-proj-join,3
2,1,88,104,filter-split,3
2,1,88,104,pushdown-filter-proj,2
2,1,88,104,identical-proj,9
2,1,88,104,pushdown-proj-topn,1
2,1,88,104,pushdown-proj-filter,1
2,2,79,118,pushdown-filter-proj,3
2,2,79,118,identical-proj,1
2,3,75,119,None,0
