Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,0,85,85,eq-comm,4
1,0,85,85,and-comm,5
1,0,85,85,and-assoc,4
1,0,85,85,filter-split,1
1,1,90,104,and-comm,8
1,1,90,104,and-assoc,15
1,1,90,104,filter-split,5
1,2,109,151,and-comm,30
1,2,109,151,and-assoc,67
1,2,109,151,filter-merge,2
1,2,109,151,filter-split,38
1,3,172,361,and-comm,92
1,3,172,361,and-assoc,154
1,3,172,361,filter-merge,47
1,3,172,361,filter-split,168
1,4,287,945,and-comm,143
1,4,287,945,and-assoc,222
1,4,287,945,filter-merge,245
1,5,229,1532,and-comm,102
