Stage,Rule_Name,Total_Applications,Rank
3,and-assoc,324,1
3,and-comm,310,2
3,pushdown-proj-filter,23,3
3,pushdown-filter-proj,23,4
3,filter-split,18,5
3,filter-true,12,6
3,filter-merge,11,7
3,identical-proj,9,8
3,and-true,6,9
3,inner-join-swap,6,10
3,eq-comm,5,11
3,hash-join-on-one-eq-rev,3,12
3,pushdown-proj-proj,3,13
3,hash-join-on-one-eq-1,3,14
3,pushdown-join-condition-right,2,15
3,pushdown-join-condition-left,2,16
3,pushdown-filter-inner-join,2,17
3,pushdown-proj-join,1,18
3,inner-hash-join-swap,1,19
3,hash-join-on-one-eq,1,20
3,pushdown-proj-agg,1,21
