Stage,Rule_Name,Total_Applications,Rank
3,inner-join-right-rotate,607,1
3,pushdown-filter-proj,557,2
3,pushdown-proj-filter,497,3
3,filter-true,437,4
3,filter-split,433,5
3,inner-hash-join-swap,370,6
3,inner-join-swap,234,7
3,and-comm,211,8
3,pushdown-proj-join,163,9
3,hash-join-on-one-eq-1,159,10
3,pushdown-filter-inner-join,158,11
3,and-assoc,154,12
3,hash-join-on-one-eq,134,13
3,inner-join-right-rotate-1,128,14
3,hash-join-on-one-eq-rev,117,15
3,pushdown-join-condition-right,114,16
3,identical-proj,81,17
3,hash-join-on-two-eq,58,18
3,pushdown-join-condition-right-1,46,19
3,filter-merge,40,20
3,pushdown-join-condition-left,31,21
3,pushdown-proj-proj,21,22
3,hash-join-on-two-eq-rev,20,23
3,and-true,10,24
3,pushdown-join-condition-left-1,10,25
3,eq-comm,9,26
3,pushdown-proj-hashagg,2,27
3,hash-join-on-three-eq-rev,2,28
3,pushdown-proj-order,2,29
3,hash-join-on-three-eq,2,30
