Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,69,69,eq-comm,1
2,0,69,69,gt-comm,2
2,0,69,69,and-comm,2
2,0,69,69,filter-split,2
2,0,69,69,pushdown-join-condition-left-1,1
2,0,69,69,pushdown-join-condition-right-1,1
2,0,69,69,pushdown-proj-order,1
2,0,69,69,pushdown-proj-filter,2
2,0,69,69,pushdown-proj-agg,1
2,0,69,69,pushdown-proj-hashagg,1
2,0,69,69,pushdown-proj-join,1
2,1,86,101,filter-true,2
2,1,86,101,filter-split,6
2,1,86,101,pushdown-filter-proj,3
2,1,86,101,pushdown-filter-left-outer-join,1
2,1,86,101,identical-proj,6
2,1,86,101,pushdown-proj-order,1
2,1,86,101,pushdown-proj-filter,2
2,1,86,101,pushdown-proj-hashagg,1
2,1,86,101,pushdown-proj-join,1
2,2,89,134,filter-true,1
2,2,89,134,filter-merge,1
2,2,89,134,pushdown-filter-proj,10
2,2,89,134,pushdown-join-condition-left-1,2
2,2,89,134,pushdown-join-condition-right-1,1
2,2,89,134,identical-proj,6
2,2,89,134,pushdown-proj-filter,2
2,2,89,134,pushdown-proj-join,1
2,3,87,163,and-comm,1
2,3,87,163,filter-true,2
2,3,87,163,filter-merge,2
2,3,87,163,pushdown-filter-proj,4
2,3,87,163,pushdown-join-condition-left-1,1
2,3,87,163,pushdown-proj-filter,3
2,4,90,180,and-true,2
2,4,90,180,and-comm,1
2,4,90,180,filter-true,1
2,4,90,180,pushdown-filter-proj,3
2,4,90,180,identical-proj,2
2,4,90,180,pushdown-proj-filter,2
2,5,82,184,and-assoc,2
2,5,82,184,filter-split,6
