Stage,Rule_Name,Total_Applications,Rank
3,inner-join-swap,658,1
3,filter-split,624,2
3,pushdown-filter-proj,531,3
3,pushdown-proj-filter,445,4
3,pushdown-proj-join,274,5
3,inner-join-right-rotate,267,6
3,hash-join-on-one-eq-1,244,7
3,filter-true,230,8
3,inner-join-right-rotate-1,200,9
3,inner-hash-join-swap,174,10
3,pushdown-join-condition-right,157,11
3,hash-join-on-one-eq-rev,157,12
3,hash-join-on-one-eq,137,13
3,identical-proj,134,14
3,pushdown-filter-inner-join,107,15
3,hash-join-on-two-eq,82,16
3,pushdown-join-condition-left,53,17
3,and-comm,44,18
3,hash-join-on-three-eq,26,19
3,pushdown-join-condition-right-1,23,20
3,and-assoc,22,21
3,and-true,13,22
3,eq-comm,12,23
3,pushdown-join-condition-left-1,9,24
3,hash-join-on-three-eq-rev,8,25
3,pushdown-proj-proj,7,26
3,filter-merge,5,27
3,pushdown-proj-topn,1,28
3,pushdown-proj-hashagg,1,29
