Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,2,0,49,49,add-comm,1
2,2,0,49,49,mul-comm,3
2,2,0,49,49,ge-comm,1
2,2,0,49,49,pushdown-proj-order,1
2,2,0,49,49,pushdown-proj-filter,1
2,2,0,49,49,pushdown-proj-hashagg,1
2,2,1,55,63,mul-add-distri,2
2,2,1,55,63,pushdown-filter-proj,1
2,2,1,55,63,identical-proj,2
2,2,1,55,63,pushdown-proj-order,1
2,2,2,55,70,mul-comm,1
2,2,2,55,70,mul-assoc,2
2,2,2,55,70,identical-proj,1
2,2,3,54,74,mul-comm,3
2,2,4,54,77,mul-add-factor,2
2,2,5,56,81,add-comm,1
2,2,5,56,81,mul-comm,1
