Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,0,55,55,add-comm,1
2,0,0,55,55,mul-comm,2
2,0,0,55,55,mul-add-distri,1
2,0,0,55,55,le-comm,1
2,0,0,55,55,pushdown-proj-order,1
2,0,0,55,55,pushdown-proj-hashagg,1
2,0,1,62,69,add-comm,1
2,0,1,62,69,mul-one,1
2,0,1,62,69,mul-comm,2
2,0,1,62,69,mul-assoc,2
2,0,1,62,69,mul-add-distri,2
2,0,1,62,69,pushdown-proj-order,1
2,0,1,62,69,pushdown-proj-filter,1
2,0,1,62,69,pushdown-proj-hashagg,1
2,0,2,69,87,mul-comm,4
2,0,2,69,87,mul-assoc,8
2,0,2,69,87,pushdown-filter-proj,1
2,0,2,69,87,identical-proj,2
2,0,2,69,87,pushdown-proj-filter,1
2,0,2,69,87,pushdown-proj-scan,1
2,0,3,75,112,mul-one,2
2,0,3,75,112,mul-comm,12
2,0,3,75,112,mul-assoc,6
2,0,3,75,112,mul-add-distri,4
2,0,3,75,112,pushdown-filter-proj,2
2,0,3,75,112,identical-proj,2
2,0,3,75,112,pushdown-proj-filter,1
2,0,4,76,143,mul-one,2
2,0,4,76,143,mul-comm,12
2,0,4,76,143,mul-assoc,8
2,0,4,76,143,mul-add-distri,4
2,0,5,72,165,mul-comm,8
