Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,3,0,49,49,add-comm,1
2,3,0,49,49,mul-comm,3
2,3,0,49,49,mul-add-distri,1
2,3,0,49,49,ge-comm,1
2,3,0,49,49,pushdown-proj-order,1
2,3,0,49,49,pushdown-proj-filter,1
2,3,0,49,49,pushdown-proj-hashagg,1
2,3,1,56,65,add-comm,1
2,3,1,56,65,mul-comm,1
2,3,1,56,65,mul-assoc,2
2,3,1,56,65,pushdown-filter-proj,1
2,3,1,56,65,identical-proj,2
2,3,1,56,65,pushdown-proj-order,1
2,3,2,56,74,mul-comm,3
2,3,2,56,74,identical-proj,1
2,3,3,54,77,mul-add-factor,2
2,3,4,56,81,add-comm,1
2,3,4,56,81,mul-comm,1
2,3,5,55,82,None,0
