Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,59,59,eq-comm,2
2,0,59,59,ne-comm,1
2,0,59,59,and-comm,2
2,0,59,59,and-assoc,1
2,0,59,59,filter-split,1
2,0,59,59,pushdown-proj-order,1
2,0,59,59,pushdown-proj-filter,1
2,0,59,59,pushdown-proj-hashagg,1
2,0,59,59,pushdown-proj-join,1
2,1,69,80,and-comm,2
2,1,69,80,and-assoc,1
2,1,69,80,filter-split,4
2,1,69,80,pushdown-filter-proj,1
2,1,69,80,identical-proj,5
2,1,69,80,pushdown-proj-order,1
2,1,69,80,pushdown-proj-filter,2
2,1,69,80,pushdown-proj-join,1
2,2,75,105,and-comm,2
2,2,75,105,filter-merge,1
2,2,75,105,filter-split,9
2,2,75,105,pushdown-filter-proj,2
2,2,75,105,identical-proj,7
2,2,75,105,pushdown-proj-filter,4
2,3,77,137,filter-merge,3
2,3,77,137,filter-split,6
2,3,77,137,pushdown-filter-proj,9
2,3,77,137,pushdown-proj-filter,1
2,4,70,153,pushdown-filter-proj,2
2,5,68,153,None,0
