Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,0,74,74,eq-comm,3
1,0,74,74,and-comm,4
1,0,74,74,and-assoc,3
1,0,74,74,filter-split,1
1,1,78,89,and-comm,6
1,1,78,89,and-assoc,10
1,1,78,89,filter-split,5
1,2,92,124,and-comm,20
1,2,92,124,and-assoc,28
1,2,92,124,filter-merge,2
1,2,92,124,filter-split,29
1,3,125,239,and-comm,37
1,3,125,239,and-assoc,41
1,3,125,239,filter-merge,31
1,3,125,239,filter-split,73
1,4,161,458,and-comm,33
1,4,161,458,and-assoc,28
1,4,161,458,filter-merge,63
1,4,161,458,filter-split,53
1,5,136,614,and-comm,8
1,5,136,614,filter-merge,18
1,5,136,614,filter-split,5
