Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,1,0,37,37,and-comm,1
3,1,0,37,37,filter-split,1
3,1,0,37,37,hash-join-on-one-eq-rev,1
3,1,0,37,37,pushdown-proj-order,1
3,1,0,37,37,pushdown-proj-filter,2
3,1,0,37,37,pushdown-proj-hashagg,1
3,1,1,47,54,eq-comm,1
3,1,1,47,54,and-true,1
3,1,1,47,54,and-comm,1
3,1,1,47,54,filter-split,3
3,1,1,47,54,hash-join-on-one-eq-rev,1
3,1,1,47,54,pushdown-filter-proj,2
3,1,1,47,54,pushdown-join-condition-left,1
3,1,1,47,54,pushdown-join-condition-right,1
3,1,1,47,54,identical-proj,4
3,1,1,47,54,pushdown-proj-order,1
3,1,1,47,54,pushdown-proj-filter,1
3,1,1,47,54,pushdown-proj-join,1
3,1,2,50,79,filter-true,2
3,1,2,50,79,hash-join-on-one-eq,1
3,1,2,50,79,pushdown-filter-proj,6
3,1,2,50,79,pushdown-join-condition-left,1
3,1,2,50,79,pushdown-join-condition-right,1
3,1,2,50,79,identical-proj,4
3,1,3,43,93,filter-true,2
3,1,3,43,93,filter-merge,4
3,1,4,45,101,and-true,4
3,1,4,45,101,and-comm,4
3,1,5,41,105,filter-split,8
3,1,6,43,115,filter-true,2
3,1,7,41,115,None,0
