Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,0,0,62,63,eq-comm,1
1,0,0,62,63,and-comm,3
1,0,0,62,63,limit-null,2
1,0,0,62,63,order-null,1
1,0,0,62,63,filter-true,2
1,0,0,62,63,filter-merge,1
1,0,0,62,63,filter-split,2
1,0,1,60,77,and-true,1
1,0,1,60,77,and-comm,1
1,0,1,60,77,and-assoc,4
1,0,1,60,77,filter-merge,1
1,0,1,60,77,filter-split,4
1,0,1,60,77,exists-to-semi-apply,1
1,0,2,68,98,and-true,2
1,0,2,68,98,and-comm,6
1,0,2,68,98,filter-merge,2
1,0,2,68,98,filter-split,5
1,0,2,68,98,exists-to-semi-apply,1
1,0,2,68,98,pushdown-semi-apply-proj,1
1,0,3,69,116,filter-true,1
1,0,3,69,116,filter-split,8
1,0,3,69,116,apply-filter-to-join,2
1,0,3,69,116,pushdown-semi-apply-proj,1
1,0,4,68,127,exists-to-semi-apply,2
1,0,4,68,127,apply-filter-to-join,2
1,0,5,68,131,pushdown-semi-apply-proj,2
