Stage,Rule_Name,Total_Applications,Rank
3,filter-split,300,1
3,pushdown-filter-proj,231,2
3,and-assoc,172,3
3,and-comm,149,4
3,filter-merge,140,5
3,pushdown-proj-filter,101,6
3,and-true,33,7
3,filter-true,26,8
3,identical-proj,14,9
3,eq-comm,3,10
3,hash-join-on-one-eq-1,3,11
3,hash-join-on-one-eq-rev,3,12
3,inner-join-swap,3,13
3,pushdown-join-condition-right,2,14
3,pushdown-proj-order,2,15
3,hash-join-on-one-eq,1,16
3,pushdown-proj-join,1,17
3,inner-hash-join-swap,1,18
3,pushdown-proj-hashagg,1,19
3,pushdown-join-condition-left,1,20
