Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,1,0,124,124,eq-comm,12
1,1,0,124,124,and-comm,8
1,1,0,124,124,and-assoc,5
1,1,0,124,124,filter-merge,2
1,1,0,124,124,filter-split,2
1,1,1,133,162,and-comm,12
1,1,1,133,162,and-assoc,26
1,1,1,133,162,filter-merge,2
1,1,1,133,162,filter-split,9
1,1,2,166,244,and-comm,52
1,1,2,166,244,and-assoc,128
1,1,2,166,244,filter-merge,10
1,1,2,166,244,filter-split,50
1,1,3,291,622,and-comm,198
1,1,3,291,622,and-assoc,548
1,1,3,291,622,filter-merge,111
1,1,3,291,622,filter-split,262
1,1,4,634,2150,None,0
1,1,5,634,2150,and-comm,604
1,1,5,634,2150,filter-merge,913
