Stage,Class_ID,Node_Count,Nodes
1,0,1,Constant(Bool(true))
1,1,1,Column($1.2)
1,2,1,Column($1.1)
1,3,1,Column($1.0)
1,4,1,"List([3, 2, 1])"
1,5,1,Table($1)
1,6,1,"Scan([5, 4, 0])"
1,7,1,Column($0.3(1))
1,8,1,Column($0.2(1))
1,9,1,Column($0.1(1))
1,10,1,Column($0.0(1))
1,11,1,"List([10, 9, 8, 7])"
1,12,1,Table($0)
1,13,1,"Scan([12, 11, 0])"
1,14,1,Column($0.3)
1,15,1,Column($0.2)
1,16,1,Column($0.1)
1,17,1,Column($0.0)
1,18,1,"List([17, 16, 15, 14])"
1,19,1,"Scan([12, 18, 0])"
1,20,1,Column($5.7)
1,21,1,Column($5.6)
1,22,1,Column($5.5)
1,23,1,Column($5.4)
1,24,1,Column($5.3)
1,25,1,Column($5.2)
1,26,1,Column($5.1)
1,27,1,Column($5.0)
1,28,1,"List([27, 26, 25, 24, 23, 22, 21, 20])"
1,29,1,Table($5)
1,30,1,"Scan([29, 28, 0])"
1,31,1,Column($6.8)
1,32,1,Column($6.7)
1,33,1,Column($6.6)
1,34,1,Column($6.5)
1,35,1,Column($6.4)
1,36,1,Column($6.3)
1,37,1,Column($6.2)
1,38,1,Column($6.1)
1,39,1,Column($6.0)
1,40,1,"List([39, 38, 37, 36, 35, 34, 33, 32, 31])"
1,41,1,Table($6)
1,42,1,"Scan([41, 40, 0])"
1,43,1,Column($7.15)
1,44,1,Column($7.14)
1,45,1,Column($7.13)
1,46,1,Column($7.12)
1,47,1,Column($7.11)
1,48,1,Column($7.10)
1,49,1,Column($7.9)
1,50,1,Column($7.8)
1,51,1,Column($7.7)
1,52,1,Column($7.6)
1,53,1,Column($7.5)
1,54,1,Column($7.4)
1,55,1,Column($7.3)
1,56,1,Column($7.2)
1,57,1,Column($7.1)
1,58,1,Column($7.0)
1,59,1,"List([58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43])"
1,60,1,Table($7)
1,61,1,"Scan([60, 59, 0])"
1,62,1,Column($3.6)
1,63,1,Column($3.5)
1,64,1,Column($3.4)
1,65,1,Column($3.3)
1,66,1,Column($3.2)
1,67,1,Column($3.1)
1,68,1,Column($3.0)
1,69,1,"List([68, 67, 66, 65, 64, 63, 62])"
1,70,1,Table($3)
1,71,1,"Scan([70, 69, 0])"
1,72,1,Column($2.8)
1,73,1,Column($2.7)
1,74,1,Column($2.6)
1,75,1,Column($2.5)
1,76,1,Column($2.4)
1,77,1,Column($2.3)
1,78,1,Column($2.2)
1,79,1,Column($2.1)
1,80,1,Column($2.0)
1,81,1,"List([80, 79, 78, 77, 76, 75, 74, 73, 72])"
1,82,1,Table($2)
1,83,1,"Scan([82, 81, 0])"
1,84,1,Inner
1,85,1,"Join([84, 0, 83, 71])"
1,86,1,"Join([84, 0, 85, 61])"
1,87,1,"Join([84, 0, 86, 42])"
1,88,1,"Join([84, 0, 87, 30])"
1,89,1,"Join([84, 0, 88, 19])"
