Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,87,87,eq-comm,1
3,0,87,87,and-comm,1
3,0,87,87,filter-split,1
3,0,87,87,inner-hash-join-swap,1
3,0,87,87,hash-join-on-one-eq-rev,3
3,0,87,87,hash-join-on-two-eq-rev,1
3,0,87,87,pushdown-filter-proj,1
3,0,87,87,pushdown-proj-filter,4
3,0,87,87,pushdown-proj-hashagg,1
3,1,109,123,eq-comm,5
3,1,109,123,and-true,4
3,1,109,123,and-comm,5
3,1,109,123,and-assoc,1
3,1,109,123,filter-split,3
3,1,109,123,inner-join-swap,1
3,1,109,123,hash-join-on-one-eq-rev,4
3,1,109,123,hash-join-on-two-eq-rev,1
3,1,109,123,pushdown-filter-proj,4
3,1,109,123,pushdown-join-condition-left,4
3,1,109,123,pushdown-join-condition-right,4
3,1,109,123,identical-proj,5
3,1,109,123,pushdown-proj-proj,1
3,1,109,123,pushdown-proj-filter,2
3,1,109,123,pushdown-proj-join,4
3,2,120,187,and-true,1
3,2,120,187,and-comm,1
3,2,120,187,and-assoc,1
3,2,120,187,filter-true,8
3,2,120,187,inner-join-swap,1
3,2,120,187,hash-join-on-one-eq,3
3,2,120,187,hash-join-on-two-eq,3
3,2,120,187,hash-join-on-one-eq-1,3
3,2,120,187,pushdown-filter-proj,11
3,2,120,187,pushdown-join-condition-left,4
3,2,120,187,pushdown-join-condition-right,4
3,2,120,187,identical-proj,8
3,3,106,241,and-true,1
3,3,106,241,and-comm,1
3,3,106,241,filter-true,6
3,3,106,241,filter-merge,7
3,4,105,255,and-true,6
3,4,105,255,and-comm,6
3,5,99,261,filter-split,11
3,6,104,277,filter-true,5
3,6,104,277,pushdown-filter-proj,1
3,7,100,279,filter-true,1
3,7,100,279,pushdown-filter-hashagg,1
3,7,100,279,pushdown-proj-filter,1
