Stage,Rule_Name,Total_Applications,Rank
3,inner-join-swap,60,1
3,filter-split,57,2
3,pushdown-proj-filter,52,3
3,pushdown-filter-proj,40,4
3,filter-true,40,5
3,hash-join-on-one-eq-1,34,6
3,identical-proj,21,7
3,pushdown-join-condition-right,21,8
3,pushdown-proj-join,19,9
3,hash-join-on-one-eq-rev,19,10
3,inner-hash-join-swap,19,11
3,inner-join-right-rotate-1,18,12
3,pushdown-proj-proj,17,13
3,hash-join-on-one-eq,16,14
3,inner-join-right-rotate,13,15
3,hash-join-on-two-eq,12,16
3,pushdown-join-condition-left,11,17
3,and-comm,7,18
3,pushdown-filter-inner-join,6,19
3,and-true,5,20
3,filter-merge,3,21
3,eq-comm,3,22
3,pushdown-proj-topn,2,23
3,and-assoc,1,24
3,pushdown-proj-hashagg,1,25
