Stage,Rule_Name,Total_Applications,Rank
2,identical-proj,17,1
2,pushdown-filter-proj,11,2
2,pushdown-proj-filter,10,3
2,filter-true,8,4
2,eq-comm,6,5
2,pushdown-proj-join,6,6
2,pushdown-join-condition-left-1,3,7
2,mul-comm,3,8
2,pushdown-filter-inner-join,2,9
2,pushdown-join-condition-right-1,2,10
2,pushdown-filter-hashagg,2,11
2,and-comm,2,12
2,pushdown-proj-order,2,13
2,pushdown-join-condition-left,1,14
2,pushdown-join-condition-right,1,15
2,gt-comm,1,16
2,pushdown-proj-hashagg,1,17
2,and-true,1,18
2,pushdown-proj-agg,1,19
