Stage,Rule_Name,Total_Applications,Rank
3,inner-join-swap,80,1
3,filter-split,76,2
3,pushdown-filter-proj,68,3
3,filter-true,66,4
3,hash-join-on-one-eq-1,66,5
3,pushdown-proj-filter,63,6
3,pushdown-join-condition-right,42,7
3,hash-join-on-one-eq-rev,34,8
3,pushdown-proj-join,32,9
3,identical-proj,30,10
3,inner-hash-join-swap,30,11
3,hash-join-on-one-eq,28,12
3,hash-join-on-two-eq,24,13
3,pushdown-join-condition-left,19,14
3,inner-join-right-rotate-1,18,15
3,inner-join-right-rotate,18,16
3,and-comm,10,17
3,pushdown-filter-inner-join,7,18
3,eq-comm,6,19
3,and-true,6,20
3,pushdown-join-condition-left-1,3,21
3,and-assoc,2,22
3,filter-merge,2,23
3,pushdown-join-condition-right-1,2,24
3,pushdown-filter-hashagg,2,25
3,pushdown-proj-proj,2,26
3,pushdown-proj-agg,1,27
3,pushdown-proj-hashagg,1,28
