Stage,Merge_Count
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,1
1,0
2,27
3,10
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,1
1,0
2,27
3,10
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,1
1,0
2,27
3,10
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,1
1,0
2,27
3,10
