Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,56,56,inner-hash-join-swap,2
3,0,56,56,hash-join-on-one-eq-rev,3
3,0,56,56,pushdown-proj-topn,1
3,0,56,56,pushdown-proj-filter,1
3,0,56,56,pushdown-proj-hashagg,2
3,1,71,80,eq-comm,3
3,1,71,80,and-true,3
3,1,71,80,and-comm,3
3,1,71,80,inner-join-swap,2
3,1,71,80,hash-join-on-one-eq-rev,5
3,1,71,80,pushdown-filter-proj,1
3,1,71,80,pushdown-join-condition-left,3
3,1,71,80,pushdown-join-condition-right,3
3,1,71,80,identical-proj,3
3,1,71,80,pushdown-proj-topn,1
3,1,71,80,pushdown-proj-filter,1
3,1,71,80,pushdown-proj-join,3
3,2,84,124,filter-true,6
3,2,84,124,inner-join-right-rotate-1,3
3,2,84,124,inner-join-swap,2
3,2,84,124,hash-join-on-one-eq,3
3,2,84,124,hash-join-on-one-eq-1,6
3,2,84,124,pushdown-filter-proj,4
3,2,84,124,pushdown-join-condition-left,3
3,2,84,124,pushdown-join-condition-right,3
3,2,84,124,identical-proj,10
3,2,84,124,pushdown-proj-filter,1
3,3,72,170,and-comm,1
3,3,72,170,and-assoc,1
3,3,72,170,filter-true,2
3,3,72,170,filter-merge,2
3,3,72,170,inner-join-swap,2
3,3,72,170,hash-join-on-two-eq,1
3,3,72,170,hash-join-on-one-eq-1,1
3,3,72,170,pushdown-filter-proj,2
3,3,72,170,pushdown-join-condition-right,1
3,3,72,170,pushdown-proj-filter,3
3,3,72,170,pushdown-proj-join,2
3,4,94,210,and-true,1
3,4,94,210,and-comm,2
3,4,94,210,filter-true,5
3,4,94,210,filter-split,3
3,4,94,210,inner-join-right-rotate,2
3,4,94,210,inner-join-right-rotate-1,2
3,4,94,210,inner-join-swap,8
3,4,94,210,inner-hash-join-swap,1
3,4,94,210,hash-join-on-one-eq,1
3,4,94,210,hash-join-on-two-eq,5
3,4,94,210,hash-join-on-one-eq-1,8
3,4,94,210,hash-join-on-one-eq-rev,1
3,4,94,210,pushdown-filter-proj,7
3,4,94,210,pushdown-filter-inner-join,1
3,4,94,210,pushdown-join-condition-left,1
3,4,94,210,pushdown-join-condition-right,1
3,4,94,210,identical-proj,2
3,4,94,210,pushdown-proj-filter,8
3,4,94,210,pushdown-proj-join,1
3,5,106,295,filter-true,5
3,5,106,295,filter-split,9
3,5,106,295,inner-join-right-rotate-1,4
3,5,106,295,inner-join-swap,8
3,5,106,295,inner-hash-join-swap,3
3,5,106,295,hash-join-on-one-eq,3
3,5,106,295,hash-join-on-two-eq,2
3,5,106,295,hash-join-on-one-eq-1,4
3,5,106,295,hash-join-on-one-eq-rev,5
3,5,106,295,pushdown-filter-proj,5
3,5,106,295,pushdown-join-condition-left,1
3,5,106,295,pushdown-join-condition-right,6
3,5,106,295,pushdown-proj-filter,20
3,5,106,295,pushdown-proj-join,4
3,6,156,425,filter-true,14
3,6,156,425,filter-split,16
3,6,156,425,inner-join-right-rotate,5
3,6,156,425,inner-join-right-rotate-1,9
3,6,156,425,inner-join-swap,26
3,6,156,425,inner-hash-join-swap,10
3,6,156,425,hash-join-on-one-eq,4
3,6,156,425,hash-join-on-two-eq,4
3,6,156,425,hash-join-on-one-eq-1,11
3,6,156,425,hash-join-on-one-eq-rev,3
3,6,156,425,pushdown-filter-proj,13
3,6,156,425,pushdown-filter-hashagg,1
3,6,156,425,pushdown-filter-inner-join,1
3,6,156,425,pushdown-join-condition-left,3
3,6,156,425,pushdown-join-condition-right,7
3,6,156,425,identical-proj,3
3,6,156,425,pushdown-proj-proj,5
3,6,156,425,pushdown-proj-filter,28
3,6,156,425,pushdown-proj-join,7
3,7,177,636,filter-true,11
3,7,177,636,filter-split,21
3,7,177,636,inner-join-right-rotate,2
3,7,177,636,inner-join-right-rotate-1,11
3,7,177,636,inner-join-swap,45
3,7,177,636,inner-hash-join-swap,13
3,7,177,636,hash-join-on-one-eq,5
3,7,177,636,hash-join-on-one-eq-1,7
3,7,177,636,hash-join-on-one-eq-rev,4
3,7,177,636,pushdown-filter-proj,15
3,7,177,636,pushdown-filter-inner-join,2
3,7,177,636,pushdown-join-condition-left,4
3,7,177,636,pushdown-join-condition-right,8
3,7,177,636,identical-proj,8
3,7,177,636,pushdown-proj-proj,13
3,7,177,636,pushdown-proj-filter,52
3,7,177,636,pushdown-proj-join,15
