Stage,Rule_Name,Total_Applications,Rank
3,filter-split,17,1
3,identical-proj,12,2
3,filter-true,6,3
3,pushdown-filter-proj,6,4
3,pushdown-proj-filter,6,5
3,and-comm,6,6
3,and-true,5,7
3,eq-comm,4,8
3,hash-join-on-one-eq-rev,4,9
3,pushdown-join-condition-right,4,10
3,pushdown-join-condition-left,4,11
3,hash-join-on-one-eq,3,12
3,inner-join-swap,3,13
3,filter-merge,3,14
3,hash-join-on-one-eq-1,2,15
3,pushdown-proj-join,2,16
3,pushdown-proj-agg,1,17
3,inner-hash-join-swap,1,18
3,pushdown-proj-hashagg,1,19
3,pushdown-proj-proj,1,20
