Stage,Merge_Count
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,7
2,109
3,124
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,7
2,109
3,124
