Stage,Rule_Name,Total_Applications,Rank
3,pushdown-filter-proj,20,1
3,filter-split,16,2
3,identical-proj,14,3
3,filter-true,11,4
3,pushdown-proj-filter,9,5
3,and-comm,6,6
3,filter-merge,5,7
3,and-true,4,8
3,pushdown-join-condition-left-1,3,9
3,pushdown-proj-hashagg,2,10
3,pushdown-proj-join,2,11
3,pushdown-join-condition-right,2,12
3,hash-join-on-one-eq-rev,2,13
3,pushdown-join-condition-right-1,2,14
3,pushdown-proj-order,2,15
3,pushdown-join-condition-left,2,16
3,hash-join-on-one-eq,1,17
3,pushdown-proj-agg,1,18
3,pushdown-filter-left-outer-join,1,19
3,eq-comm,1,20
