Stage,Rule_Name,Total_Applications,Rank
3,pushdown-proj-filter,114,1
3,inner-join-swap,93,2
3,filter-split,49,3
3,pushdown-filter-proj,47,4
3,filter-true,43,5
3,hash-join-on-one-eq-1,37,6
3,pushdown-proj-join,32,7
3,inner-hash-join-swap,29,8
3,inner-join-right-rotate-1,29,9
3,pushdown-join-condition-right,29,10
3,identical-proj,26,11
3,hash-join-on-one-eq-rev,21,12
3,pushdown-proj-proj,18,13
3,hash-join-on-one-eq,16,14
3,pushdown-join-condition-left,15,15
3,hash-join-on-two-eq,12,16
3,inner-join-right-rotate,9,17
3,and-comm,6,18
3,and-true,4,19
3,pushdown-filter-inner-join,4,20
3,eq-comm,3,21
3,pushdown-proj-hashagg,2,22
3,filter-merge,2,23
3,pushdown-proj-topn,2,24
3,pushdown-filter-hashagg,1,25
3,and-assoc,1,26
