Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,0,129,129,eq-comm,7
1,0,129,129,and-comm,6
1,0,129,129,and-assoc,2
1,0,129,129,filter-split,3
1,0,129,129,apply-filter-to-join,1
1,1,134,153,and-comm,4
1,1,134,153,and-assoc,5
1,1,134,153,filter-split,7
1,2,145,180,and-comm,10
1,2,145,180,and-assoc,6
1,2,145,180,filter-merge,2
1,2,145,180,filter-split,16
1,3,159,228,and-comm,8
1,3,159,228,and-assoc,5
1,3,159,228,filter-merge,15
1,3,159,228,filter-split,19
1,4,162,278,and-comm,3
1,4,162,278,filter-merge,8
1,4,162,278,filter-split,7
1,5,155,289,None,0
