Stage,Rule_Name,Total_Applications,Rank
3,filter-true,20,1
3,pushdown-filter-proj,17,2
3,filter-split,15,3
3,and-comm,14,4
3,identical-proj,13,5
3,and-true,12,6
3,pushdown-join-condition-right,8,7
3,pushdown-join-condition-left,8,8
3,pushdown-proj-filter,7,9
3,filter-merge,7,10
3,hash-join-on-one-eq-rev,7,11
3,eq-comm,6,12
3,pushdown-proj-join,4,13
3,hash-join-on-two-eq,3,14
3,hash-join-on-one-eq,3,15
3,hash-join-on-one-eq-1,3,16
3,hash-join-on-two-eq-rev,2,17
3,inner-join-swap,2,18
3,and-assoc,2,19
3,pushdown-proj-hashagg,1,20
3,pushdown-proj-proj,1,21
3,pushdown-filter-hashagg,1,22
3,inner-hash-join-swap,1,23
