Stage,Merge_Count
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,1
1,4
2,34
3,73
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,0
1,0
2,0
3,0
0,1
1,4
2,34
3,73
