Stage,Class_ID,Node_Count,Nodes
2,0,1,Constant(Bool(true))
2,1,1,Column($7.12)
2,2,1,Column($7.11)
2,3,1,Column($7.0)
2,4,1,"List([3, 2, 1])"
2,5,1,Table($7)
2,6,2,"Scan([5, 4, 0]); Proj([4, 6])"
2,7,2,"Gt([1, 2]); Lt([2, 1])"
2,8,2,"Proj([4, 8]); Filter([7, 6])"
2,9,1,List([3])
2,10,2,"Proj([9, 8]); Proj([9, 10])"
2,11,1,Column($6.5)
2,12,1,Column($6.4)
2,13,1,Column($6.0)
2,14,1,"List([13, 12, 11])"
2,15,1,Table($6)
2,16,2,"Scan([15, 14, 0]); Proj([14, 16])"
2,17,1,Constant(Date(Date(8582)))
2,18,2,"GtEq([12, 17]); LtEq([17, 12])"
2,19,1,Constant(Date(Date(8674)))
2,20,2,"Gt([19, 12]); Lt([12, 19])"
2,21,2,"And([18, 20]); And([20, 18])"
2,22,4,"Proj([14, 22]); Filter([18, 59]); Filter([20, 42]); Filter([21, 16])"
2,23,1,"List([13, 11])"
2,24,2,"Proj([23, 22]); Proj([23, 24])"
2,25,2,"Eq([3, 13]); Eq([13, 3])"
2,26,1,Semi
2,27,1,"Join([26, 25, 24, 10])"
2,28,1,List([11])
2,29,2,"Proj([28, 27]); Proj([28, 29])"
2,30,1,RowCount
2,31,1,List([30])
2,32,1,"HashAgg([28, 31, 29])"
2,33,1,"Order([28, 32])"
2,34,1,Ref(30)
2,35,1,"List([11, 34])"
2,36,2,"Proj([14, 59]); Filter([20, 16])"
2,37,2,"Proj([14, 42]); Filter([18, 16])"
2,38,2,"Proj([35, 32]); Proj([35, 44])"
2,39,3,"Proj([35, 33]); Proj([35, 45]); Order([28, 44])"
