Stage,Class_ID,Node_Count,Nodes
1,0,1,Constant(Bool(true))
1,1,1,Column($7.15)
1,2,1,Column($7.14)
1,3,1,Column($7.13)
1,4,1,Column($7.12)
1,5,1,Column($7.11)
1,6,1,Column($7.10)
1,7,1,Column($7.9)
1,8,1,Column($7.8)
1,9,1,Column($7.7)
1,10,1,Column($7.6)
1,11,1,Column($7.5)
1,12,1,Column($7.4)
1,13,1,Column($7.3)
1,14,1,Column($7.2)
1,15,1,Column($7.1)
1,16,1,Column($7.0)
1,17,1,"List([16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1])"
1,18,1,Table($7)
1,19,1,"Scan([18, 17, 0])"
1,20,1,"Lt([5, 4])"
1,21,1,"Filter([20, 19])"
1,22,1,Column($6.8)
1,23,1,Column($6.7)
1,24,1,Column($6.6)
1,25,1,Column($6.5)
1,26,1,Column($6.4)
1,27,1,Column($6.3)
1,28,1,Column($6.2)
1,29,1,Column($6.1)
1,30,1,Column($6.0)
1,31,1,"List([30, 29, 28, 27, 26, 25, 24, 23, 22])"
1,32,1,Table($6)
1,33,1,"Scan([32, 31, 0])"
1,34,1,Constant(Date(Date(8582)))
1,35,1,"GtEq([26, 34])"
1,36,1,Constant(Date(Date(8674)))
1,37,1,"Lt([26, 36])"
1,38,2,"And([35, 37]); And([37, 35])"
1,39,3,"Filter([35, 55]); Filter([37, 53]); Filter([38, 33])"
1,40,2,"Eq([16, 30]); Eq([30, 16])"
1,41,1,Semi
1,42,1,"Join([41, 40, 39, 21])"
1,43,1,RowCount
1,44,1,List([43])
1,45,1,List([25])
1,46,1,"HashAgg([45, 44, 42])"
1,47,1,"Order([45, 46])"
1,48,1,Ref(43)
1,49,1,"List([25, 48])"
1,50,1,"Proj([49, 47])"
1,51,1,"Filter([35, 33])"
1,52,1,"Filter([37, 33])"
