Stage,Class_ID,Node_Count,Nodes
2,0,1,Constant(Bool(true))
2,1,1,Column($2.4)
2,2,1,Column($2.0)
2,3,1,"List([2, 1])"
2,4,1,Table($2)
2,5,2,"Scan([4, 3, 0]); Proj([3, 5])"
2,6,1,Column($7.10)
2,7,1,Column($7.6)
2,8,1,Column($7.5)
2,9,1,Column($7.1)
2,10,1,"List([9, 8, 7, 6])"
2,11,1,Table($7)
2,12,2,"Scan([11, 10, 0]); Proj([10, 12])"
2,13,1,Constant(Date(Date(9374)))
2,14,2,"GtEq([6, 13]); LtEq([13, 6])"
2,15,1,Constant(Date(Date(9404)))
2,16,2,"Gt([15, 6]); Lt([6, 15])"
2,17,2,"And([14, 16]); And([16, 14])"
2,18,4,"Proj([10, 18]); Filter([14, 63]); Filter([16, 52]); Filter([17, 12])"
2,19,1,"List([9, 8, 7])"
2,20,2,"Proj([19, 18]); Proj([19, 20])"
2,21,2,"Eq([2, 9]); Eq([9, 2])"
2,22,1,Inner
2,23,1,"Join([22, 21, 20, 5])"
2,24,1,"List([8, 7, 1])"
2,25,2,"Proj([24, 23]); Proj([24, 25])"
2,26,1,Constant(Int32(1))
2,27,1,"Sub([26, 7])"
2,28,2,"Mul([8, 27]); Mul([27, 8])"
2,29,1,Sum(28)
2,30,1,Constant(Int32(0))
2,31,1,"Type(Decimal(Some(30), Some(4)))"
2,32,1,"Cast([31, 30])"
2,33,1,"Constant(String(""PROMO%""))"
2,34,1,"Like([1, 33])"
2,35,1,"If([34, 28, 32])"
2,36,1,Sum(35)
2,37,1,"List([36, 29])"
2,38,1,"Agg([37, 25])"
2,39,1,Ref(29)
2,40,1,Constant(Decimal(100.00))
2,41,1,Ref(36)
2,42,2,"Mul([40, 41]); Mul([41, 40])"
2,43,1,"Div([42, 39])"
2,44,1,List([43])
2,45,1,"Proj([44, 38])"
2,46,2,"Proj([10, 52]); Filter([14, 12])"
2,47,2,"Proj([10, 63]); Filter([16, 12])"
