Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,1,0,115,115,eq-comm,9
1,1,0,115,115,and-comm,8
1,1,0,115,115,and-assoc,5
1,1,0,115,115,filter-merge,1
1,1,0,115,115,filter-split,1
1,1,1,122,146,and-comm,11
1,1,1,122,146,and-assoc,23
1,1,1,122,146,filter-merge,1
1,1,1,122,146,filter-split,5
1,1,2,149,213,and-comm,46
1,1,2,149,213,and-assoc,153
1,1,2,149,213,filter-merge,6
1,1,2,149,213,filter-split,43
1,1,3,276,612,and-comm,222
1,1,3,276,612,filter-merge,114
1,1,3,276,612,filter-split,362
1,1,4,476,1510,and-comm,18
1,1,5,476,1528,None,0
