Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
1,0,0,124,124,eq-comm,9
1,0,0,124,124,and-comm,9
1,0,0,124,124,and-assoc,1
1,0,0,124,124,limit-null,2
1,0,0,124,124,order-null,1
1,0,0,124,124,filter-true,3
1,0,0,124,124,filter-merge,1
1,0,0,124,124,filter-split,1
1,0,1,121,153,and-true,1
1,0,1,121,153,and-comm,3
1,0,1,121,153,and-assoc,14
1,0,1,121,153,filter-merge,1
1,0,1,121,153,filter-split,6
1,0,2,139,197,and-true,3
1,0,2,139,197,and-comm,25
1,0,2,139,197,and-assoc,51
1,0,2,139,197,filter-merge,9
1,0,2,139,197,filter-split,21
1,0,3,206,373,and-true,9
1,0,3,206,373,and-comm,91
1,0,3,206,373,and-assoc,340
1,0,3,206,373,filter-true,1
1,0,3,206,373,filter-merge,51
1,0,3,206,373,filter-split,160
1,0,4,497,1364,and-true,30
1,0,4,497,1364,and-comm,434
1,0,4,497,1364,filter-true,1
1,0,5,440,1786,None,0
