Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,85,85,mul-comm,1
2,0,85,85,eq-comm,9
2,0,85,85,ge-comm,2
2,0,85,85,and-comm,4
2,0,85,85,or-comm,1
2,0,85,85,filter-split,1
2,0,85,85,pushdown-proj-order,1
2,0,85,85,pushdown-proj-hashagg,1
2,0,85,85,pushdown-proj-join,5
2,1,105,130,filter-split,1
2,1,105,130,identical-proj,11
2,1,105,130,pushdown-proj-order,1
2,1,105,130,pushdown-proj-filter,2
2,1,105,130,pushdown-proj-hashagg,1
2,2,97,143,filter-split,2
2,2,97,143,pushdown-filter-proj,2
2,2,97,143,identical-proj,5
2,2,97,143,pushdown-proj-filter,1
2,3,92,150,pushdown-filter-proj,2
2,4,90,150,None,0
