Stage,External_Iteration,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
2,0,0,115,115,mul-comm,1
2,0,0,115,115,eq-comm,9
2,0,0,115,115,ge-comm,1
2,0,0,115,115,le-comm,1
2,0,0,115,115,and-comm,8
2,0,0,115,115,and-assoc,3
2,0,0,115,115,or-comm,1
2,0,0,115,115,filter-merge,1
2,0,0,115,115,filter-split,1
2,0,0,115,115,pushdown-filter-inner-join,1
2,0,0,115,115,pushdown-join-condition-left-1,5
2,0,0,115,115,pushdown-join-condition-right-1,5
2,0,0,115,115,pushdown-proj-order,1
2,0,0,115,115,pushdown-proj-filter,1
2,0,0,115,115,pushdown-proj-hashagg,1
2,0,1,138,178,and-true,1
2,0,1,138,178,and-comm,8
2,0,1,138,178,and-assoc,22
2,0,1,138,178,filter-true,10
2,0,1,138,178,filter-merge,1
2,0,1,138,178,filter-split,5
2,0,1,138,178,pushdown-filter-proj,1
2,0,1,138,178,pushdown-filter-inner-join,4
2,0,1,138,178,identical-proj,1
2,0,1,138,178,pushdown-proj-order,1
2,0,1,138,178,pushdown-proj-filter,4
2,0,1,138,178,pushdown-proj-hashagg,1
2,0,1,138,178,pushdown-proj-join,1
2,0,2,169,270,and-true,4
2,0,2,169,270,and-comm,42
2,0,2,169,270,and-assoc,108
2,0,2,169,270,filter-merge,6
2,0,2,169,270,filter-split,42
2,0,2,169,270,pushdown-filter-proj,7
2,0,2,169,270,pushdown-filter-inner-join,5
2,0,2,169,270,pushdown-join-condition-left,7
2,0,2,169,270,pushdown-join-condition-right,1
2,0,2,169,270,identical-proj,4
2,0,2,169,270,pushdown-proj-filter,14
2,0,2,169,270,pushdown-proj-join,6
2,0,2,169,270,pushdown-proj-scan,1
2,0,3,316,668,and-true,12
2,0,3,316,668,and-comm,176
2,0,3,316,668,filter-true,4
2,0,3,316,668,filter-merge,68
2,0,3,316,668,filter-split,573
2,0,3,316,668,pushdown-filter-proj,52
2,0,3,316,668,pushdown-filter-inner-join,31
2,0,3,316,668,pushdown-join-condition-left,20
2,0,3,316,668,pushdown-join-condition-left-1,2
2,0,3,316,668,pushdown-join-condition-right-1,1
2,0,3,316,668,identical-proj,5
2,0,3,316,668,pushdown-proj-filter,58
2,0,3,316,668,pushdown-proj-join,10
2,0,3,316,668,pushdown-proj-scan,1
2,0,4,626,2077,and-true,4
2,0,4,626,2077,and-comm,11
2,0,4,626,2077,filter-true,8
2,0,4,626,2077,pushdown-filter-proj,417
2,0,4,626,2077,pushdown-filter-inner-join,293
2,0,4,626,2077,pushdown-join-condition-left,246
2,0,4,626,2077,pushdown-join-condition-left-1,11
2,0,4,626,2077,pushdown-join-condition-right-1,1
2,0,4,626,2077,identical-proj,4
2,0,4,626,2077,pushdown-proj-proj,2
2,0,4,626,2077,pushdown-proj-join,34
2,0,4,626,2077,pushdown-proj-scan,1
2,0,5,855,3467,and-true,19
2,0,5,855,3467,and-comm,96
2,0,5,855,3467,filter-true,29
2,0,5,855,3467,pushdown-join-condition-left-1,147
2,0,5,855,3467,pushdown-join-condition-right-1,2
2,0,5,855,3467,identical-proj,8
2,0,5,855,3467,pushdown-proj-proj,22
2,0,5,855,3467,pushdown-proj-scan,1
