Stage,Internal_Iteration,Class_Count,Node_Count,Rule_Name,Applications
3,0,38,38,hash-join-on-one-eq-rev,1
3,0,38,38,pushdown-proj-order,1
3,0,38,38,pushdown-proj-filter,1
3,0,38,38,pushdown-proj-hashagg,2
3,1,46,51,eq-comm,1
3,1,46,51,and-true,1
3,1,46,51,and-comm,1
3,1,46,51,hash-join-on-one-eq-rev,1
3,1,46,51,pushdown-filter-proj,1
3,1,46,51,pushdown-join-condition-left,1
3,1,46,51,pushdown-join-condition-right,1
3,1,46,51,identical-proj,4
3,1,46,51,pushdown-proj-order,1
3,1,46,51,pushdown-proj-join,1
3,2,47,66,filter-true,2
3,2,47,66,hash-join-on-one-eq,1
3,2,47,66,pushdown-filter-proj,1
3,2,47,66,pushdown-join-condition-left,1
3,2,47,66,pushdown-join-condition-right,1
3,2,47,66,identical-proj,4
3,3,41,75,filter-true,1
3,3,41,75,filter-merge,1
3,4,41,77,and-true,1
3,4,41,77,and-comm,1
3,5,40,78,filter-split,1
3,6,41,80,filter-true,1
3,7,40,80,None,0
