Stage,Class_ID,Node_Count,Nodes
2,0,1,Constant(Bool(true))
2,1,1,Column($0.1(1))
2,2,1,Column($0.0(1))
2,3,1,"List([2, 1])"
2,4,1,Table($0)
2,5,2,"Scan([4, 3, 0]); Proj([3, 5])"
2,6,1,"Constant(String(""GERMANY""))"
2,7,2,"Eq([1, 6]); Eq([6, 1])"
2,8,2,"Proj([3, 8]); Filter([7, 5])"
2,9,1,List([2])
2,10,2,"Proj([9, 8]); Proj([9, 10])"
2,11,1,Column($3.3(1))
2,12,1,Column($3.0(1))
2,13,1,"List([12, 11])"
2,14,1,Table($3)
2,15,2,"Scan([14, 13, 0]); Proj([13, 15])"
2,16,1,Column($4.3(1))
2,17,1,Column($4.2(1))
2,18,1,Column($4.1(1))
2,19,1,"List([18, 17, 16])"
2,20,1,Table($4)
2,21,2,"Scan([20, 19, 0]); Proj([19, 21])"
2,22,2,"Eq([12, 18]); Eq([18, 12])"
2,23,1,Inner
2,24,1,"Join([23, 22, 21, 15])"
2,25,1,"List([17, 16, 11])"
2,26,2,"Proj([25, 24]); Proj([25, 26])"
2,27,2,"Eq([2, 11]); Eq([11, 2])"
2,28,1,"Join([23, 27, 26, 10])"
2,29,1,"List([17, 16])"
2,30,2,"Proj([29, 28]); Proj([29, 30])"
2,31,2,"Mul([16, 17]); Mul([17, 16])"
2,32,1,Sum(31)
2,33,1,List([32])
2,34,2,"Filter([0, 34]); Agg([33, 30])"
2,35,1,Ref(32)
2,36,1,Constant(Decimal(0.0001000000))
2,37,2,"Mul([35, 36]); Mul([36, 35])"
2,38,1,List([37])
2,39,3,"Proj([38, 34]); Proj([38, 145]); Filter([0, 39])"
2,40,1,Column($0.1)
2,41,1,Column($0.0)
2,42,1,"List([41, 40])"
2,43,2,"Scan([4, 42, 0]); Proj([42, 43])"
2,44,2,"Eq([6, 40]); Eq([40, 6])"
2,45,2,"Proj([42, 45]); Filter([44, 43])"
2,46,1,List([41])
2,47,2,"Proj([46, 45]); Proj([46, 47])"
2,48,1,Column($3.3)
2,49,1,Column($3.0)
2,50,1,"List([49, 48])"
2,51,2,"Scan([14, 50, 0]); Proj([50, 51])"
2,52,1,Column($4.3)
2,53,1,Column($4.2)
2,54,1,Column($4.1)
2,55,1,Column($4.0)
2,56,1,"List([55, 54, 53, 52])"
2,57,2,"Scan([20, 56, 0]); Proj([56, 57])"
2,58,2,"Eq([49, 54]); Eq([54, 49])"
2,59,1,"Join([23, 58, 57, 51])"
2,60,1,"List([55, 53, 52, 48])"
2,61,2,"Proj([60, 59]); Proj([60, 61])"
2,62,4,"Eq([41, 48]); Eq([48, 41]); And([0, 62]); And([62, 0])"
2,63,4,"Filter([0, 63]); Join([23, 62, 61, 47]); Join([23, 62, 61, 182]); Join([23, 62, 180, 47])"
2,64,1,"List([55, 53, 52])"
2,65,3,"Proj([64, 63]); Proj([64, 65]); Filter([0, 65])"
2,66,2,"Mul([52, 53]); Mul([53, 52])"
2,67,1,Sum(66)
2,68,1,List([67])
2,69,1,List([55])
2,70,2,"Filter([0, 70]); HashAgg([69, 68, 65])"
2,71,1,LeftOuter
2,72,1,"Join([71, 0, 70, 39])"
2,73,1,Ref(37)
2,74,1,Ref(67)
2,75,2,"Gt([74, 73]); Lt([73, 74])"
2,76,1,"Filter([75, 72])"
2,77,1,Desc(74)
2,78,1,List([77])
2,79,1,"Order([78, 76])"
2,80,1,"List([55, 74])"
2,81,1,List([73])
2,82,3,"Proj([136, 76]); Proj([136, 138]); Filter([75, 137])"
2,83,1,"List([55, 74, 73])"
2,84,3,"Proj([80, 76]); Proj([80, 96]); Proj([80, 138])"
2,85,3,"Proj([80, 79]); Proj([80, 97]); Order([78, 96])"
2,86,3,"Proj([136, 72]); Proj([136, 137]); Join([71, 0, 151, 153])"
2,87,1,List([35])
2,88,3,"Proj([144, 34]); Proj([144, 145]); Filter([0, 145])"
2,89,3,"Proj([152, 39]); Proj([152, 153]); Filter([0, 153])"
2,90,3,"Proj([80, 70]); Proj([80, 151]); Filter([0, 151])"
2,91,1,"Filter([0, 61])"
2,92,1,"Filter([0, 47])"
