Stage,Rule_Name,Total_Applications,Rank
3,filter-split,608,1
3,inner-join-swap,576,2
3,pushdown-proj-join,229,3
3,inner-join-right-rotate-1,207,4
3,hash-join-on-one-eq-1,204,5
3,pushdown-proj-filter,188,6
3,inner-hash-join-swap,165,7
3,filter-true,154,8
3,pushdown-filter-proj,151,9
3,inner-join-right-rotate,149,10
3,pushdown-join-condition-right,132,11
3,hash-join-on-one-eq-rev,122,12
3,hash-join-on-two-eq,103,13
3,pushdown-filter-inner-join,96,14
3,hash-join-on-one-eq,83,15
3,identical-proj,83,16
3,pushdown-join-condition-left,44,17
3,pushdown-join-condition-right-1,25,18
3,pushdown-proj-proj,25,19
3,hash-join-on-three-eq,24,20
3,and-comm,18,21
3,eq-comm,7,22
3,hash-join-on-three-eq-rev,6,23
3,and-true,6,24
3,and-assoc,6,25
3,pushdown-join-condition-left-1,5,26
3,filter-merge,3,27
3,pushdown-proj-topn,2,28
3,pushdown-proj-hashagg,1,29
3,hash-join-on-one-eq-2,1,30
3,hash-join-on-one-eq-3,1,31
